month,day,len,rang90,rang95,gamma_moments_90,gamma_moments_95,a_moments,b_moments
1,1,146,1.8,2.4,1.84,2.81,0.32473,1.94052
1,2,148,1.73,2.465,1.84,2.79,0.3351,1.8893
1,3,150,1.7,2.455,1.83,2.74,0.35356,1.7913
1,4,150,1.71,2.61,1.89,2.81,0.37451,1.76588
1,5,150,1.7,2.61,1.74,2.48,0.48085,1.32543
1,6,150,1.61,3.0,1.83,2.62,0.47772,1.40389
1,7,150,1.74,3.0,1.95,2.83,0.43917,1.60301
1,8,150,2.11,3.275,2.2,3.33,0.33654,2.24836
1,9,150,2.11,3.32,2.25,3.41,0.33922,2.28563
1,10,150,2.22,3.5,2.36,3.57,0.34033,2.39181
1,11,150,2.22,3.775,2.45,3.68,0.3542,2.3998
1,12,150,2.43,3.865,2.51,3.72,0.38342,2.30208
1,13,150,2.21,3.265,2.2,3.16,0.46132,1.73417
1,14,150,2.3,3.455,2.23,3.23,0.44354,1.81569
1,15,150,1.8,2.955,2.02,2.91,0.45921,1.60129
1,16,150,1.8,2.63,1.9,2.75,0.44091,1.55436
1,17,150,1.8,2.3,1.79,2.59,0.43633,1.47289
1,18,150,2.11,3.055,2.35,3.63,0.30654,2.60759
1,19,150,2.1,2.955,2.27,3.48,0.31905,2.43225
1,20,150,2.4,3.055,2.44,3.66,0.3576,2.36766
1,21,150,2.3,2.81,2.26,3.48,0.3146,2.45391
1,22,150,2.3,2.955,2.27,3.49,0.31484,2.46472
1,23,150,2.0,2.3,1.65,2.33,0.52927,1.16765
1,24,150,1.92,2.555,1.81,2.65,0.41717,1.54853
1,25,150,1.71,2.255,1.67,2.5,0.36519,1.59735
1,26,150,1.92,3.22,1.83,2.73,0.37364,1.71823
1,27,150,1.61,3.04,1.69,2.58,0.32482,1.77944
1,28,150,1.42,3.04,1.58,2.48,0.27931,1.89755
1,29,150,1.42,2.255,1.4,2.13,0.32914,1.45833
1,30,150,1.4,2.255,1.38,2.15,0.29999,1.56447
1,31,150,1.4,2.2,1.32,2.04,0.30514,1.47035
2,1,150,1.42,2.2,1.39,2.12,0.326,1.46013
2,2,150,1.6,2.255,1.44,2.2,0.33061,1.50024
2,3,150,1.72,2.865,1.71,2.7,0.27723,2.0729
2,4,150,2.01,3.155,1.85,2.89,0.2913,2.14897
2,5,150,2.0,2.91,1.76,2.77,0.2844,2.09098
2,6,150,1.81,2.62,1.63,2.61,0.25765,2.10881
2,7,150,1.9,2.62,1.73,2.76,0.26324,2.20076
2,8,150,1.44,2.355,1.44,2.24,0.29786,1.64282
2,9,150,1.3,2.155,1.25,1.92,0.31252,1.35885
2,10,150,1.03,2.055,1.21,1.88,0.30253,1.35966
2,11,150,1.41,2.355,1.44,2.16,0.35579,1.40533
2,12,150,1.31,2.2,1.37,2.04,0.37477,1.28258
2,13,150,1.71,2.62,1.56,2.33,0.35835,1.50878
2,14,150,1.7,2.2,1.59,2.42,0.33065,1.64929
2,15,150,1.71,2.53,1.73,2.56,0.38665,1.57765
2,16,149,1.7,2.92,1.69,2.57,0.33576,1.73703
2,17,148,1.63,2.73,1.63,2.47,0.33403,1.6769
2,18,148,1.33,2.39,1.67,2.88,0.18861,2.92316
2,19,148,1.33,2.395,1.57,2.74,0.18187,2.85322
2,20,148,1.3,2.73,1.68,3.37,0.12184,4.85811
2,21,149,1.74,2.56,1.86,3.54,0.13923,4.55034
2,22,150,2.01,2.71,2.0,3.7,0.15184,4.43439
2,23,150,2.01,2.555,1.93,3.33,0.19052,3.35215
2,24,150,2.1,2.655,2.11,3.48,0.22708,3.07672
2,25,150,2.1,2.51,1.81,2.56,0.50214,1.33163
2,26,150,1.73,2.51,1.69,2.44,0.44585,1.36968
2,27,128,2.0,2.595,1.91,2.85,0.37087,1.80321
2,28,128,2.19,3.16,2.13,3.13,0.39504,1.90052
2,29,128,2.33,3.43,2.13,3.17,0.37165,1.99909
3,1,127,1.92,3.32,2.09,3.11,0.37524,1.95361
3,2,126,2.2,3.35,2.21,3.23,0.41853,1.8868
3,3,148,1.8,2.83,1.82,2.63,0.45429,1.45608
3,4,148,1.6,2.195,1.57,2.28,0.42707,1.31317
3,5,147,1.5,1.9,1.45,2.13,0.41141,1.25668
3,6,147,1.1,1.9,1.28,1.92,0.35426,1.25008
3,7,148,1.1,1.73,1.07,1.57,0.40588,0.93557
3,8,147,1.1,1.87,1.19,1.77,0.37067,1.12134
3,9,147,1.3,1.9,1.34,2.06,0.31065,1.4672
3,10,147,1.62,2.4,1.52,2.3,0.33621,1.55189
3,11,148,1.9,2.53,1.64,2.52,0.30993,1.79857
3,12,147,1.94,2.74,1.71,2.72,0.26169,2.18098
3,13,147,1.94,2.8,1.8,2.86,0.27242,2.22242
3,14,145,1.96,2.8,1.91,2.97,0.29268,2.20083
3,15,144,1.9,2.7,1.79,2.84,0.26733,2.23921
