month,day,len,rang90,rang95,gamma_moments_90,gamma_moments_95,a_moments,b_moments
1,1,150,3.81,4.765,3.86,5.66,0.40936,3.35647
1,2,150,3.81,5.45,3.89,5.65,0.42982,3.24325
1,3,150,3.91,4.765,3.65,5.22,0.4797,2.79203
1,4,150,4.01,4.855,3.7,5.29,0.47631,2.8427
1,5,150,4.01,4.855,3.66,5.23,0.47969,2.79904
1,6,150,4.01,4.5,3.16,4.33,0.64165,1.92213
1,7,150,4.0,4.455,3.25,4.61,0.50527,2.38154
1,8,150,3.01,4.41,3.39,5.01,0.38883,3.07071
1,9,150,4.0,4.61,3.53,5.29,0.35727,3.43159
1,10,150,4.2,5.275,3.76,5.64,0.35905,3.64297
1,11,150,4.21,5.665,3.98,5.9,0.38237,3.65438
1,12,150,4.0,5.275,3.71,5.42,0.41294,3.19657
1,13,150,3.91,4.655,3.31,4.73,0.48165,2.52049
1,14,150,3.91,5.175,3.83,5.6,0.41619,3.28377
1,15,150,4.0,5.455,3.94,5.7,0.44799,3.18312
1,16,150,3.32,5.22,3.53,5.25,0.37622,3.29065
1,17,150,4.02,5.61,3.84,5.74,0.36457,3.67189
1,18,150,4.02,5.865,3.94,5.88,0.36956,3.72517
1,19,150,3.41,5.055,3.24,4.82,0.37804,3.0085
1,20,150,3.51,4.785,3.48,5.27,0.34128,3.52009
1,21,150,3.73,5.71,4.27,6.55,0.31621,4.60881
1,22,150,3.61,5.71,4.14,6.43,0.29949,4.68793
1,23,150,3.52,5.285,4.11,6.35,0.30422,4.5844
1,24,150,3.5,4.855,4.05,6.23,0.31465,4.39429
1,25,150,3.31,4.285,3.54,5.5,0.29816,4.02693
1,26,150,3.5,4.855,3.21,4.72,0.40097,2.83477
1,27,150,3.5,4.675,3.2,4.55,0.48776,2.40964
1,28,150,3.31,4.785,3.37,4.87,0.44509,2.73353
1,29,150,3.2,5.155,3.5,5.01,0.47933,2.67872
1,30,150,3.1,4.785,3.41,4.87,0.48166,2.59656
