month,day,len,rang90,rang95,gamma_moments_90,gamma_moments_95,a_moments,b_moments
1,1,138,0.9,1.515,0.81,1.3,0.25395,1.05865
1,2,136,0.9,1.6,0.87,1.36,0.27913,1.04317
1,3,135,0.96,1.55,0.88,1.37,0.30686,0.98005
1,4,136,1.0,1.6,0.94,1.41,0.34904,0.92902
1,5,137,0.84,1.34,0.85,1.26,0.38525,0.77683
1,6,137,1.1,1.5,1.0,1.47,0.39399,0.89299
1,7,137,1.14,1.5,1.06,1.58,0.37991,0.9818
1,8,137,1.24,1.52,1.06,1.58,0.36944,1.00172
1,9,136,1.3,1.525,1.09,1.61,0.38292,0.99661
1,10,135,1.3,1.53,1.11,1.65,0.38543,1.01665
1,11,135,1.36,1.66,1.16,1.85,0.26573,1.46349
1,12,135,1.26,1.83,1.18,1.89,0.25676,1.5319
1,13,135,1.12,1.83,1.14,1.86,0.24284,1.56483
1,14,135,0.9,1.62,1.05,1.77,0.20949,1.65835
1,15,135,0.86,1.93,1.06,1.78,0.20578,1.69548
1,16,135,0.86,1.6,0.92,1.51,0.2327,1.31466
1,17,135,0.9,1.53,0.84,1.41,0.21265,1.30978
1,18,135,1.16,1.69,0.99,1.64,0.21696,1.50226
1,19,135,1.16,1.83,0.99,1.65,0.21265,1.53271
1,20,135,0.9,1.53,0.88,1.53,0.18582,1.56665
1,21,135,1.0,1.5,0.87,1.44,0.22005,1.30274
1,22,135,1.16,1.53,1.09,1.84,0.20507,1.75187
1,23,135,1.2,1.66,1.15,1.89,0.23187,1.6484
1,24,135,1.26,1.9,1.26,2.01,0.25819,1.62385
1,25,135,1.26,1.99,1.33,2.08,0.28713,1.55822
1,26,136,1.05,1.975,1.27,2.02,0.2654,1.60414
1,27,136,1.0,1.75,1.09,1.65,0.34025,1.1043
1,28,137,1.04,1.72,1.2,1.92,0.26179,1.53629
1,29,138,1.1,1.7,1.37,2.46,0.16394,2.78029
1,30,138,1.2,1.7,1.45,2.55,0.17886,2.69421
1,31,137,1.24,2.0,1.69,2.86,0.20462,2.72532
2,1,137,1.44,2.42,1.77,3.01,0.20153,2.9011
2,2,136,1.2,2.1,1.59,2.72,0.19367,2.70701
2,3,135,1.2,2.03,1.37,2.13,0.29217,1.58201
2,4,135,1.32,2.19,1.36,2.17,0.25954,1.74667
2,5,135,1.06,1.79,1.15,1.83,0.26365,1.45814
2,6,135,1.06,1.79,1.07,1.63,0.32517,1.12305
2,7,136,1.7,2.3,1.57,2.57,0.23342,2.22711
2,8,137,1.7,2.34,1.68,2.67,0.26648,2.10913
2,9,138,1.63,2.13,1.55,2.5,0.24518,2.09846
2,10,139,1.54,2.12,1.49,2.46,0.22817,2.16616
2,11,140,1.4,1.905,1.38,2.33,0.20805,2.19381
2,12,139,0.92,1.5,0.84,1.29,0.32609,0.88691
2,13,139,1.02,1.31,0.76,1.16,0.31865,0.81053
2,14,140,1.3,1.405,1.03,1.57,0.32025,1.09511
2,15,140,1.3,1.6,1.21,1.77,0.41335,1.04374
2,16,140,1.4,1.615,1.31,1.87,0.48202,0.99729
2,17,141,1.4,1.9,1.44,2.01,0.54158,0.99655
2,18,140,1.5,2.205,1.51,2.15,0.48741,1.13721
2,19,138,1.5,2.1,1.42,2.02,0.49396,1.0577
2,20,138,1.5,2.0,1.27,1.86,0.40746,1.10619
2,21,137,1.4,1.76,1.13,1.73,0.32522,1.19401
2,22,136,1.2,1.7,0.88,1.44,0.23534,1.24353
2,23,136,0.85,1.35,0.69,1.12,0.24835,0.92672
2,24,136,0.5,0.825,0.48,0.78,0.23291,0.68192
2,25,135,0.46,0.73,0.4,0.67,0.20094,0.6525
2,26,135,0.5,0.73,0.42,0.8,0.13984,1.02232
2,27,115,0.56,0.8,0.47,0.87,0.14821,1.06195
2,28,114,0.57,0.735,0.47,0.88,0.14635,1.08487
2,29,113,0.6,0.98,0.6,1.11,0.15243,1.32367
3,1,112,0.69,1.445,0.78,1.42,0.15611,1.67011
3,2,111,0.7,1.2,0.7,1.29,0.15508,1.52198
3,3,130,0.7,1.21,0.72,1.27,0.17866,1.34333
3,4,130,0.61,1.11,0.7,1.24,0.16981,1.36348
3,5,130,0.6,1.0,0.65,1.21,0.149,1.4765
3,6,131,0.6,1.0,0.7,1.22,0.18403,1.25682
3,7,132,0.6,1.3,0.83,1.41,0.20255,1.35393
3,8,132,0.8,1.545,0.86,1.47,0.19897,1.43164
3,9,132,0.8,1.645,0.93,1.55,0.21453,1.43022
3,10,132,0.8,1.645,0.87,1.44,0.22362,1.28738
3,11,131,0.8,1.65,0.8,1.34,0.21482,1.22952
3,12,130,0.71,1.355,0.71,1.17,0.22567,1.04305
3,13,130,0.73,1.255,0.75,1.18,0.28784,0.88191
3,14,130,0.82,1.255,0.79,1.29,0.23904,1.10379
3,15,131,1.0,1.25,0.93,1.45,0.30249,1.0473
3,16,131,0.8,1.1,0.82,1.3,0.27762,0.99811
3,17,131,0.8,1.05,0.76,1.24,0.23733,1.06142
3,18,131,0.8,1.05,0.67,1.18,0.17917,1.24835
3,19,131,0.8,1.2,0.7,1.24,0.17819,1.31086
3,20,130,0.6,1.0,0.57,1.09,0.14229,1.37312
3,21,130,1.0,1.4,0.79,1.32,0.21392,1.22258
3,22,130,1.11,1.51,0.95,1.48,0.28821,1.11029
3,23,130,1.11,1.455,0.93,1.45,0.28915,1.08275
3,24,130,1.1,1.355,0.83,1.24,0.37152,0.78471
3,25,130,1.2,1.4,0.89,1.33,0.35939,0.86042
3,26,130,1.1,1.3,0.85,1.31,0.30056,0.95463
3,27,130,1.0,1.41,0.87,1.43,0.23137,1.24674
3,28,130,1.11,2.055,1.08,1.76,0.23465,1.52109
3,29,131,1.2,2.45,1.18,2.03,0.19445,2.00994
3,30,133,1.0,2.16,1.1,1.92,0.18262,1.99678
3,31,134,0.97,2.0,1.01,1.82,0.16205,2.07696
4,1,135,0.9,1.56,0.9,1.66,0.15412,1.96574
4,2,136,0.8,1.4,0.73,1.37,0.14896,1.66348
4,3,136,0.75,1.175,0.68,1.14,0.20893,1.06989
4,4,135,0.66,1.13,0.62,1.08,0.19065,1.08401
4,5,135,0.7,1.13,0.65,1.11,0.20332,1.06384
4,6,136,0.7,1.1,0.61,1.06,0.19236,1.05503
4,7,136,0.65,0.9,0.51,0.94,0.15588,1.10848
4,8,136,0.65,0.925,0.55,1.0,0.1621,1.13855
4,9,136,0.65,0.9,0.52,0.96,0.14856,1.17794
4,10,136,0.6,0.8,0.46,0.88,0.13884,1.1333
4,11,135,0.6,0.93,0.53,1.06,0.12466,1.49746
4,12,135,0.6,1.0,0.57,1.11,0.13298,1.48724
4,13,136,0.45,0.7,0.36,0.76,0.10409,1.26447
4,14,136,0.5,0.725,0.39,0.82,0.11138,1.27415
4,15,136,0.45,0.85,0.43,0.86,0.12341,1.22146
4,16,136,0.8,1.525,0.65,1.13,0.1813,1.18019
4,17,136,0.9,1.725,0.72,1.24,0.19512,1.22472
4,18,135,0.92,1.73,0.73,1.25,0.19776,1.2211
4,19,135,1.0,1.73,0.78,1.3,0.21971,1.17326
4,20,135,1.0,1.83,0.79,1.36,0.19482,1.3422
4,21,135,0.5,1.06,0.58,1.24,0.10528,2.03333
4,22,135,0.7,1.13,0.6,1.24,0.11318,1.9111
4,23,135,0.8,1.36,0.8,1.89,0.08561,3.78133
4,24,136,0.9,1.4,0.87,1.97,0.09278,3.63745
4,25,136,0.9,1.3,0.83,1.91,0.09076,3.61331
4,26,136,0.9,1.3,0.78,1.76,0.09369,3.22553
4,27,136,0.9,1.225,0.91,1.97,0.1028,3.30445
4,28,136,0.9,1.1,0.87,1.4,0.24509,1.17605
4,29,134,0.9,1.135,0.9,1.45,0.24788,1.20723
4,30,133,1.08,1.24,1.06,1.68,0.26527,1.33215
5,1,132,1.09,1.245,1.08,1.74,0.24896,1.44541
5,2,131,1.0,1.3,0.98,1.55,0.26965,1.21448
5,3,130,1.01,1.355,0.93,1.52,0.23816,1.30166
5,4,130,0.9,1.62,0.97,1.66,0.19964,1.61445
5,5,130,0.9,1.855,0.99,1.65,0.22132,1.48759
5,6,130,1.3,2.01,1.22,2.05,0.21078,1.91596
5,7,130,1.3,1.955,1.25,2.06,0.22879,1.80883
5,8,130,1.3,2.265,1.37,2.31,0.20767,2.17796
5,9,131,1.3,2.05,1.43,2.72,0.14059,3.47489
5,10,131,1.0,1.85,1.06,3.76,0.04922,14.43894
5,11,131,0.9,2.15,1.05,3.74,0.04891,14.48384
5,12,131,1.0,2.35,1.22,4.03,0.05303,14.00494
5,13,131,1.1,2.3,1.29,4.12,0.05499,13.65861
5,14,130,1.11,2.3,1.05,3.67,0.04994,13.81624
5,15,130,1.42,3.46,1.76,2.94,0.21621,2.69687
5,16,130,1.7,3.35,1.85,3.02,0.24064,2.5605
5,17,130,1.7,2.71,1.78,2.9,0.24033,2.46458
5,18,130,1.71,2.6,1.73,2.85,0.22817,2.51162
5,19,130,2.03,2.71,1.9,3.04,0.25577,2.47519
5,20,130,1.91,2.4,1.7,2.56,0.35229,1.67694
5,21,130,1.71,2.355,1.47,2.19,0.36906,1.39022
5,22,130,1.81,2.4,1.51,2.29,0.33467,1.54919
5,23,130,1.72,2.51,1.85,3.21,0.18688,3.27236
5,24,131,1.7,2.6,1.75,3.13,0.16974,3.44047
5,25,131,1.3,2.45,1.36,2.73,0.12128,3.94641
5,26,132,1.29,3.005,1.41,2.84,0.12142,4.09938
5,27,132,1.66,2.545,1.43,2.83,0.12526,3.97963
5,28,132,1.66,2.545,1.23,2.17,0.1754,2.32803
5,29,131,1.1,2.4,1.05,1.93,0.15537,2.27486
5,30,133,1.7,2.78,1.26,2.31,0.15688,2.69836
5,31,133,1.62,2.74,1.23,2.33,0.14175,2.94922
6,1,134,1.8,3.2,1.49,2.76,0.1524,3.29553
6,2,135,1.8,3.2,1.51,2.75,0.16045,3.15308
6,3,137,1.8,3.26,1.54,2.77,0.16393,3.12577
6,4,137,0.94,2.86,1.19,2.3,0.13497,3.03383
6,5,137,1.28,3.12,1.29,2.32,0.16474,2.61409
6,6,137,1.2,3.14,1.34,2.74,0.11479,4.15871
6,7,137,1.24,3.14,1.4,2.77,0.12444,3.92409
6,8,136,1.8,3.85,1.88,3.47,0.15308,4.13567
6,9,135,2.12,4.06,2.35,4.24,0.16463,4.76504
6,10,135,2.12,4.06,2.31,4.18,0.16323,4.72872
6,11,135,1.8,2.63,1.93,3.5,0.16139,3.99764
6,12,135,1.9,4.2,2.18,3.93,0.16506,4.41132
6,13,136,2.05,4.4,2.36,4.05,0.19335,4.03484
6,14,136,2.55,4.25,2.37,3.75,0.26966,2.94221
6,15,136,2.85,4.4,2.44,3.96,0.24187,3.35014
6,16,136,3.6,5.45,3.02,5.11,0.20399,4.8913
6,17,136,3.85,5.7,3.29,5.49,0.21805,4.99747
6,18,135,3.16,5.32,2.87,5.03,0.1798,5.28985
6,19,136,2.85,5.625,2.46,4.66,0.14071,5.94654
6,20,136,2.7,5.625,2.35,4.51,0.13708,5.87897
6,21,136,1.8,3.85,1.94,3.8,0.12927,5.2101
6,22,136,1.55,3.125,1.49,3.12,0.10989,4.92458
6,23,136,1.55,2.55,1.46,3.13,0.10415,5.18922
6,24,135,1.66,4.88,1.93,3.79,0.12743,5.25471
6,25,135,1.9,5.16,2.21,4.13,0.14693,5.09185
6,26,135,2.08,5.16,2.32,3.96,0.1968,3.89191
6,27,135,3.26,5.81,2.88,5.03,0.18227,5.23444
6,28,136,4.05,6.225,3.27,5.43,0.2204,4.90744
6,29,136,3.65,5.375,3.13,5.17,0.22605,4.58636
6,30,138,3.96,6.29,3.64,6.09,0.21509,5.59926
7,1,138,4.13,6.83,4.05,6.57,0.2435,5.53224
7,2,138,3.4,5.52,3.39,5.49,0.24355,4.62372
7,3,138,3.4,5.505,3.43,5.66,0.22584,5.02473
7,4,138,3.4,5.505,3.38,5.6,0.22307,5.02214
