month,day,len,rang90,rang95,gamma_moments_90,gamma_moments_95,a_moments,b_moments
1,1,150,1.5,2.355,1.65,2.45,0.37707,1.52934
1,2,150,1.81,2.5,1.84,2.66,0.44726,1.48757
1,3,149,1.82,2.5,1.87,2.68,0.47183,1.44802
1,4,148,1.73,2.3,1.74,2.5,0.46166,1.36992
1,5,147,1.5,2.21,1.55,2.27,0.40117,1.36505
1,6,146,1.35,1.95,1.22,1.77,0.45069,0.98328
1,7,145,1.0,1.38,0.95,1.38,0.43849,0.78011
1,8,146,1.0,1.3,0.89,1.31,0.40597,0.78115
1,9,146,1.0,1.2,0.82,1.21,0.3968,0.73361
1,10,146,0.9,1.175,0.72,1.07,0.38465,0.66241
1,11,147,0.9,1.1,0.75,1.1,0.42278,0.63718
1,12,148,1.0,1.165,0.81,1.18,0.40046,0.71202
1,13,147,1.0,1.34,0.86,1.25,0.43165,0.71707
1,14,148,1.0,1.4,0.89,1.28,0.46446,0.69974
1,15,149,1.02,1.5,1.1,1.61,0.40227,0.96599
1,16,149,1.22,1.5,1.19,1.73,0.42207,1.00495
1,17,149,1.3,1.5,1.32,1.93,0.41563,1.13196
1,18,149,1.3,1.56,1.33,1.93,0.43513,1.09974
1,19,149,1.32,1.8,1.44,2.08,0.43974,1.17825
1,20,149,1.62,2.9,1.73,2.5,0.44913,1.39719
1,21,149,1.84,2.96,1.87,2.68,0.46247,1.46717
1,22,149,2.04,2.96,2.07,3.02,0.42113,1.75942
1,23,150,2.51,3.0,2.18,3.19,0.41709,1.86688
1,24,150,2.23,3.0,2.18,3.15,0.44174,1.77782
1,25,150,1.72,2.6,1.87,2.73,0.41785,1.59867
1,26,150,1.5,2.11,1.7,2.52,0.37476,1.58501
1,27,150,1.3,1.855,1.35,1.93,0.46557,1.0539
1,28,150,1.3,1.7,1.17,1.62,0.58385,0.76275
1,29,150,1.3,1.755,1.43,2.2,0.30926,1.57148
1,30,150,1.52,2.155,1.65,2.55,0.30484,1.83483
1,31,150,1.71,2.355,1.82,2.74,0.3527,1.79378
2,1,150,1.81,2.955,2.0,3.01,0.34893,1.97941
2,2,150,1.91,2.955,2.02,3.03,0.35548,1.96914
2,3,150,1.71,2.51,1.74,2.58,0.38579,1.5881
2,4,150,1.5,2.21,1.63,2.41,0.39257,1.46557
2,5,150,1.4,2.055,1.42,2.14,0.34021,1.4344
2,6,150,1.3,1.555,1.1,1.66,0.35179,1.08589
2,7,150,1.2,1.855,1.1,1.69,0.32299,1.16825
2,8,150,1.1,1.71,1.08,1.64,0.33353,1.11135
2,9,150,0.91,1.255,0.89,1.32,0.39792,0.79413
2,10,150,1.1,1.665,1.02,1.52,0.36864,0.96572
2,11,150,1.2,1.955,1.15,1.69,0.4103,0.99927
2,12,150,1.01,1.765,1.06,1.61,0.3367,1.08503
2,13,150,1.2,1.955,1.16,1.91,0.22642,1.69301
2,14,150,1.6,2.3,1.34,2.15,0.25504,1.74877
2,15,150,1.6,2.5,1.5,2.43,0.24164,2.05816
2,16,150,1.41,2.5,1.46,2.39,0.23718,2.04626
2,17,150,1.71,2.61,1.6,2.56,0.26007,2.05586
2,18,150,1.92,2.855,1.71,2.58,0.34665,1.70777
2,19,150,1.8,2.665,1.64,2.53,0.30876,1.80723
2,20,150,1.71,2.255,1.45,2.2,0.34148,1.46618
2,21,150,1.8,2.255,1.49,2.28,0.32007,1.5934
2,22,150,1.61,2.2,1.4,2.09,0.36518,1.33632
2,23,150,1.4,1.91,1.32,1.97,0.36328,1.26255
2,24,150,1.4,2.11,1.4,2.07,0.39368,1.25991
2,25,150,1.3,2.22,1.38,2.08,0.34359,1.38343
2,26,150,1.3,2.565,1.38,2.11,0.32677,1.45258
2,27,128,1.23,2.83,1.37,2.15,0.28561,1.61662
2,28,128,1.13,2.595,1.16,1.92,0.2245,1.70867
2,29,128,0.7,1.2,0.85,1.48,0.18729,1.51001
3,1,128,0.73,1.46,0.86,1.46,0.20069,1.4131
3,2,128,0.86,1.765,0.94,1.72,0.15896,1.99051
3,3,150,1.11,1.755,1.08,1.82,0.20765,1.71441
3,4,150,1.21,2.055,1.23,2.01,0.23742,1.71847
3,5,150,1.7,2.3,1.41,2.28,0.24436,1.91519
3,6,150,1.7,2.51,1.52,2.45,0.24994,2.02184
3,7,150,1.7,2.765,1.61,2.53,0.27803,1.94222
3,8,150,1.5,2.765,1.48,2.42,0.23623,2.08555
3,9,150,1.5,2.81,1.44,2.38,0.22553,2.11652
3,10,150,1.51,2.955,1.55,2.55,0.23166,2.22451
3,11,150,1.61,3.11,1.74,2.83,0.24285,2.38557
3,12,150,1.5,2.565,1.55,2.52,0.244,2.11475
3,13,150,1.61,3.11,1.64,2.66,0.24504,2.23089
3,14,150,1.73,3.11,1.67,2.71,0.24623,2.26348
3,15,150,2.02,2.84,1.68,2.7,0.25142,2.222
3,16,150,1.64,2.4,1.5,2.42,0.2468,2.0178
3,17,150,1.61,2.675,1.49,2.42,0.24571,2.02132
3,18,150,1.73,2.355,1.5,2.38,0.26578,1.88375
3,19,150,1.61,2.31,1.4,2.25,0.25804,1.81626
3,20,150,1.5,2.21,1.23,1.94,0.27129,1.51622
3,21,150,1.7,2.6,1.54,2.65,0.19334,2.63784
3,22,150,1.81,2.655,1.65,2.95,0.16931,3.2446
3,23,150,1.71,3.315,1.59,2.91,0.15469,3.44343
3,24,150,1.81,3.9,1.57,2.96,0.1419,3.75382
3,25,150,1.81,4.065,1.57,3.09,0.12668,4.31004
3,26,150,0.7,2.0,1.02,2.22,0.10039,3.81176
3,27,150,0.81,2.155,1.08,2.31,0.10489,3.81367
3,28,150,1.3,2.155,1.19,2.42,0.11825,3.57997
3,29,150,1.3,2.42,1.2,2.36,0.12668,3.29449
3,30,150,1.82,2.7,1.43,2.66,0.149,3.23943
3,31,150,2.01,3.0,1.61,2.87,0.17084,3.13738
4,1,150,2.11,3.11,1.85,3.7,0.12244,5.30867
4,2,150,1.8,3.44,1.82,3.72,0.11597,5.59316
4,3,150,1.82,3.855,1.94,3.85,0.12396,5.46401
4,4,150,1.71,3.11,1.56,3.4,0.10049,5.83163
4,5,150,1.8,4.485,1.86,3.79,0.11657,5.67909
