month,day,len,rang90,rang95,gamma_moments_90,gamma_moments_95,a_moments,b_moments
1,1,150,0.71,1.51,0.71,1.55,0.10136,2.63083
1,2,150,0.82,1.555,0.76,1.61,0.10645,2.61145
1,3,150,0.71,1.4,0.73,1.57,0.10415,2.59879
1,4,150,0.71,1.455,0.74,1.57,0.10389,2.6182
1,5,150,0.61,1.4,0.6,1.44,0.08232,3.00469
1,6,150,0.51,1.31,0.41,1.15,0.06608,3.04701
1,7,150,0.6,1.2,0.53,1.29,0.0793,2.80787
1,8,150,0.71,1.31,0.59,1.4,0.08375,2.87374
1,9,150,0.61,1.2,0.55,1.36,0.07926,2.94381
1,10,150,0.41,1.2,0.54,1.14,0.10845,1.81956
1,11,150,0.62,1.665,0.68,1.37,0.12262,1.95722
1,12,150,0.51,2.02,0.62,1.34,0.10425,2.21269
1,13,150,0.41,2.02,0.6,1.37,0.08992,2.62445
1,14,150,0.6,2.31,0.72,1.57,0.10005,2.69864
1,15,150,0.42,1.42,0.57,1.34,0.08677,2.65835
1,16,150,0.51,1.01,0.43,1.11,0.07506,2.54908
1,17,150,0.51,0.855,0.39,0.99,0.07488,2.2882
1,18,150,0.6,0.9,0.41,0.88,0.10322,1.47256
1,19,150,0.6,0.855,0.43,0.89,0.11676,1.32464
1,20,150,0.61,0.9,0.48,0.94,0.12721,1.31013
1,21,150,0.51,0.855,0.42,1.0,0.08459,2.03343
1,22,150,0.61,0.9,0.41,0.99,0.08334,2.0398
1,23,150,0.51,0.955,0.43,1.16,0.06904,2.92572
1,24,150,0.61,1.055,0.49,1.41,0.06291,3.9635
1,25,150,0.7,1.21,0.6,1.57,0.07239,3.75741
1,26,150,0.72,1.52,0.75,1.71,0.09049,3.24167
1,27,150,0.9,1.755,0.76,1.73,0.09163,3.24482
1,28,150,0.61,1.575,0.71,1.58,0.0976,2.78002
1,29,150,0.6,0.955,0.56,1.06,0.14497,1.31982
1,30,150,0.51,0.955,0.47,1.39,0.06013,4.12458
1,31,150,0.41,0.855,0.33,1.16,0.04931,4.44845
2,1,150,0.41,0.755,0.36,1.22,0.0512,4.42686
2,2,150,0.4,0.6,0.24,1.0,0.04264,4.72185
2,3,150,0.41,0.7,0.28,1.07,0.04513,4.65317
2,4,150,0.41,0.655,0.31,0.7,0.09566,1.25444
2,5,150,0.5,0.7,0.39,0.8,0.11566,1.21048
2,6,150,0.5,0.975,0.4,0.9,0.09259,1.67771
2,7,150,0.7,1.61,0.57,1.18,0.11366,1.81245
2,8,150,0.61,1.61,0.57,1.17,0.11404,1.78881
2,9,150,0.62,1.61,0.61,1.22,0.12381,1.73378
2,10,150,0.62,1.755,0.67,1.53,0.09258,2.82986
2,11,150,0.62,1.355,0.59,1.36,0.08839,2.63981
2,12,150,0.61,1.62,0.51,1.94,0.04609,8.18627
2,13,150,0.72,2.165,0.73,2.33,0.05504,7.70336
2,14,150,1.01,2.51,1.08,2.92,0.06829,7.46817
2,15,150,0.91,2.465,0.88,2.59,0.06092,7.56148
2,16,150,0.71,2.465,0.75,2.4,0.05512,7.94571
2,17,150,0.61,1.855,0.62,1.58,0.07503,3.63418
2,18,150,0.41,1.665,0.49,1.38,0.06509,3.71806
2,19,150,0.53,1.41,0.56,1.25,0.09552,2.24745
2,20,150,0.5,2.02,0.5,1.92,0.04538,8.27174
2,21,150,1.0,2.31,0.76,2.39,0.0562,7.72284
2,22,150,0.82,1.5,0.66,2.23,0.05183,7.98713
