month,day,len,rang90,rang95,gamma_moments_90,gamma_moments_95,a_moments,b_moments
1,1,150,4.25,6.8,3.87,6.26,0.24507,5.25012
1,2,150,4.71,7.42,4.27,6.78,0.26786,5.341
1,3,150,4.23,7.555,4.3,6.76,0.27953,5.17063
1,4,150,3.84,7.02,4.09,6.39,0.28881,4.77596
1,5,150,3.84,6.84,4.09,6.37,0.29373,4.71186
1,6,150,3.84,6.435,3.86,5.74,0.37738,3.58785
1,7,150,3.8,4.93,3.52,5.26,0.36711,3.34865
1,8,150,3.8,4.93,3.4,5.09,0.36256,3.26933
1,9,150,3.93,5.655,3.61,5.39,0.3688,3.42194
1,10,150,4.2,5.555,3.55,5.29,0.37078,3.34254
1,11,150,4.21,5.92,3.7,5.62,0.33233,3.82552
1,12,150,4.11,5.92,3.72,5.71,0.31746,4.00465
1,13,150,4.11,6.055,3.65,5.56,0.32884,3.8053
1,14,150,4.2,6.355,4.01,6.0,0.36568,3.82663
1,15,150,4.95,6.84,4.47,6.58,0.39922,3.96443
1,16,150,4.95,7.02,4.35,6.51,0.36373,4.16979
1,17,150,4.35,6.62,4.1,6.06,0.38789,3.72096
1,18,150,4.12,6.575,4.08,6.02,0.39387,3.65602
1,19,150,4.0,5.675,3.56,5.4,0.3338,3.6649
1,20,150,4.0,4.775,3.36,5.04,0.35613,3.2722
1,21,150,4.0,4.775,3.35,4.87,0.42872,2.80061
1,22,150,4.11,5.51,3.6,5.19,0.45522,2.86894
1,23,150,4.5,6.575,4.2,6.33,0.34802,4.17796
1,24,150,5.11,7.075,4.47,6.64,0.37713,4.15239
1,25,150,4.81,6.85,4.18,6.34,0.33723,4.27211
1,26,150,5.11,6.85,4.55,6.71,0.39379,4.08172
1,27,150,4.92,7.075,4.58,6.68,0.42226,3.8807
1,28,150,4.92,6.53,4.41,6.17,0.55083,3.01967
1,29,150,4.81,6.01,4.17,5.86,0.53971,2.90278
1,30,150,5.21,6.53,4.98,7.04,0.51395,3.59955
1,31,150,4.48,8.565,5.39,8.23,0.32611,5.66679
2,1,150,5.24,8.565,5.05,8.0,0.27049,6.25528
2,2,150,4.93,7.695,4.99,8.12,0.24059,6.8913
2,3,150,4.4,7.65,4.94,8.05,0.23909,6.865
2,4,150,4.03,5.855,4.05,6.92,0.19757,6.77216
2,5,150,3.3,5.01,3.09,4.92,0.26513,3.89991
2,6,150,4.02,5.01,3.26,5.14,0.27819,3.94459
2,7,150,3.3,4.565,2.65,4.0,0.343,2.66667
2,8,150,3.21,4.565,2.49,3.91,0.28523,2.94736
2,9,150,3.21,4.81,2.44,3.9,0.26172,3.12296
2,10,150,3.3,4.7,2.58,4.04,0.28729,3.03295
2,11,150,3.35,4.7,2.68,4.1,0.32107,2.853
2,12,150,3.21,4.555,2.7,4.06,0.35802,2.62553
2,13,150,3.81,4.755,3.19,4.64,0.42527,2.68378
2,14,150,3.72,4.755,3.39,4.97,0.40279,2.97922
2,15,150,3.61,5.35,3.29,4.91,0.36541,3.1362
2,16,150,3.2,5.35,3.17,4.81,0.3379,3.23369
2,17,150,3.22,6.02,3.23,4.91,0.33483,3.3231
2,18,150,2.81,6.11,2.96,4.65,0.28092,3.54311
2,19,150,2.8,6.11,3.21,5.16,0.2533,4.22169
2,20,150,2.83,6.11,3.29,5.26,0.26071,4.21927
2,21,150,3.19,6.11,3.29,5.28,0.255,4.30583
2,22,150,4.06,6.11,3.73,6.15,0.22726,5.44155
2,23,150,4.21,6.065,3.99,6.44,0.24915,5.33822
2,24,150,4.11,5.9,3.63,5.84,0.25423,4.76732
2,25,150,4.01,5.72,3.6,5.75,0.26007,4.6219
2,26,150,4.21,6.585,4.68,7.59,0.24427,6.37554
2,27,128,4.2,6.13,4.53,7.25,0.25865,5.85063
2,28,128,4.03,5.83,4.36,6.94,0.26697,5.47516
2,29,128,4.2,6.065,4.7,7.28,0.30232,5.27953
3,1,128,5.2,6.525,5.11,7.95,0.29526,5.8555
3,2,128,4.1,5.925,4.02,6.13,0.3251,4.23188
3,3,150,4.1,5.875,3.85,5.88,0.32499,4.05757
3,4,150,4.01,6.1,3.69,5.81,0.27731,4.46917
3,5,150,3.81,5.11,3.39,5.57,0.23056,4.87222
3,6,150,3.26,4.865,3.04,4.92,0.24792,4.08732
3,7,150,2.92,4.475,2.65,4.33,0.23797,3.70354
3,8,150,2.22,4.24,2.21,3.87,0.18112,4.04885
3,9,150,1.8,3.91,1.94,3.59,0.1505,4.34116
3,10,150,2.11,4.0,1.88,3.33,0.17364,3.58982
3,11,150,1.83,3.575,1.58,2.91,0.15304,3.46308
3,12,150,2.11,4.0,1.6,3.09,0.13449,4.08964
3,13,150,2.61,4.11,1.95,3.62,0.14887,4.41549
3,14,150,3.32,4.355,2.54,4.24,0.2149,3.90267
3,15,150,3.32,4.62,2.84,4.79,0.20687,4.53747
3,16,150,4.21,6.02,3.64,5.95,0.2374,5.09683
3,17,150,4.3,6.915,3.87,6.14,0.26683,4.85209
3,18,150,4.44,6.065,3.95,6.15,0.29631,4.51556
3,19,150,5.31,6.655,4.11,6.33,0.30921,4.51898
3,20,150,5.43,6.555,4.39,6.52,0.38074,4.05
3,21,150,5.3,6.3,3.9,5.76,0.38831,3.53667
3,22,150,5.12,6.3,4.0,6.08,0.33433,4.11567
3,23,150,5.71,6.81,4.47,6.99,0.28836,5.23181
3,24,150,5.33,7.065,5.04,8.36,0.22137,7.53199
3,25,150,4.61,6.585,4.47,7.77,0.18632,7.94684
3,26,150,4.03,6.585,4.07,7.38,0.16149,8.42596
3,27,150,4.03,5.93,3.72,6.89,0.15136,8.28502
3,28,150,3.23,4.61,3.03,6.16,0.11784,9.13677
3,29,150,3.14,4.165,2.25,4.31,0.13725,5.62011
3,30,150,3.5,4.355,2.53,4.76,0.14448,5.93866
3,31,150,3.8,5.23,3.25,5.66,0.18458,5.82933
4,1,150,3.71,6.105,3.31,5.69,0.19319,5.66267
4,2,150,3.71,5.23,3.18,5.04,0.27232,3.92189
4,3,150,3.52,5.46,3.05,4.87,0.26042,3.9117
4,4,150,2.92,4.355,2.47,4.09,0.22268,3.67043
4,5,150,2.33,3.42,2.0,3.31,0.22457,2.95385
4,6,150,2.36,3.2,2.0,3.43,0.19645,3.37315
4,7,150,3.1,4.51,2.44,4.26,0.18323,4.40966
4,8,150,3.2,5.22,2.77,4.7,0.20333,4.50828
4,9,150,3.32,6.005,3.12,5.44,0.18314,5.63867
4,10,150,3.88,6.91,3.47,5.84,0.20881,5.49468
4,11,150,3.53,6.395,3.11,5.37,0.19066,5.39525
4,12,150,2.62,5.72,2.63,4.79,0.15841,5.55092
4,13,150,1.83,5.72,2.29,4.49,0.12899,6.15571
4,14,150,1.83,3.685,2.06,3.81,0.15222,4.56349
4,15,150,2.62,4.44,2.08,3.83,0.15379,4.54728
4,16,150,3.01,4.965,2.54,5.08,0.12264,7.27347
4,17,150,4.02,5.475,3.41,6.52,0.13796,8.46116
4,18,150,4.02,5.475,3.28,6.35,0.13275,8.50727
4,19,150,4.8,7.47,4.25,8.2,0.13399,10.89644
4,20,150,4.71,8.21,4.4,8.38,0.1395,10.77142
4,21,150,4.71,8.1,4.25,7.82,0.15384,9.28673
4,22,150,3.71,7.47,3.63,7.0,0.13411,9.29601
4,23,150,3.07,6.31,3.48,6.8,0.12936,9.30707
4,24,150,3.71,6.31,3.13,5.89,0.14372,7.38013
4,25,150,2.9,5.755,2.76,5.44,0.12757,7.53031
4,26,150,2.95,5.755,2.83,5.56,0.12796,7.6848
4,27,150,3.4,5.755,2.76,5.25,0.13905,6.76986
4,28,150,3.4,5.755,2.68,5.16,0.13442,6.8442
4,29,150,2.12,3.8,1.98,3.7,0.14765,4.53766
4,30,150,2.32,3.855,2.4,4.64,0.13351,6.18683
5,1,150,2.01,3.71,1.81,3.91,0.10141,6.653
5,2,150,1.64,3.32,1.57,3.47,0.09702,6.15668
5,3,150,2.0,3.71,2.18,4.39,0.11962,6.42587
5,4,150,2.52,5.055,2.5,4.8,0.13553,6.321
5,5,150,2.07,5.64,2.61,6.01,0.08999,11.46104
5,6,150,3.11,7.02,3.39,6.94,0.11547,10.47865
5,7,150,3.23,7.02,3.65,7.22,0.12546,10.14425
5,8,150,3.24,7.02,3.8,7.88,0.11222,12.20825
5,9,150,3.24,6.665,3.84,7.9,0.11415,12.05452
5,10,150,2.45,6.13,2.86,5.82,0.11693,8.70062
5,11,150,3.62,6.355,3.64,8.08,0.09623,14.43706
5,12,150,3.95,6.82,4.31,9.13,0.10667,14.80577
5,13,150,4.43,7.275,4.22,8.69,0.11371,13.30825
5,14,150,4.74,7.455,4.91,9.37,0.13798,12.15613
5,15,150,4.71,7.22,4.81,9.2,0.13726,11.987
5,16,150,4.8,7.455,4.58,8.31,0.16086,9.51956
5,17,150,4.08,7.455,4.1,7.44,0.16163,8.48864
5,18,150,3.64,6.995,3.88,7.3,0.14369,9.15395
5,19,150,3.42,7.435,3.71,7.24,0.1302,9.85656
5,20,150,3.22,8.53,4.21,8.28,0.12754,11.47862
5,21,150,3.43,6.885,4.13,8.42,0.11665,12.60757
5,22,150,4.93,7.365,4.47,8.77,0.1285,12.06791
5,23,150,5.9,8.53,5.7,10.49,0.154,12.43729
5,24,150,5.63,8.53,6.02,10.87,0.16286,12.33805
5,25,150,6.1,8.665,5.93,10.46,0.17716,11.11618
5,26,150,6.1,8.755,5.23,8.87,0.20255,8.53134
5,27,150,5.83,8.965,5.22,9.15,0.18054,9.58582
5,28,150,5.23,8.61,4.76,8.28,0.18547,8.49727
5,29,150,6.17,10.57,6.51,13.36,0.1149,20.26735
5,30,150,9.4,14.94,8.33,15.44,0.15092,18.60549
5,31,150,9.94,16.84,9.08,16.25,0.16795,18.00134
6,1,150,12.52,16.84,9.68,16.81,0.18683,17.16021
6,2,150,11.33,14.94,8.66,15.7,0.16112,17.9654
6,3,150,6.25,13.565,6.31,10.32,0.23471,8.91584
6,4,150,4.81,10.17,5.04,8.45,0.21217,7.85517
6,5,149,3.64,6.04,3.96,6.89,0.18445,7.10631
6,6,149,2.62,4.58,2.73,4.89,0.16856,5.39922
6,7,149,4.98,10.44,4.64,8.08,0.1847,8.31736
6,8,149,4.98,7.2,4.31,7.56,0.17961,7.95531
6,9,149,4.34,9.96,4.58,9.77,0.10508,16.07582
6,10,150,5.32,12.02,5.08,10.36,0.11624,15.55402
6,11,150,7.02,12.02,6.16,11.48,0.14823,14.0367
6,12,149,5.64,8.34,4.57,9.43,0.1133,14.48913
6,13,149,7.4,12.02,6.71,12.65,0.14309,15.91908
