month,day,len,rang90,rang95,gamma_moments_90,gamma_moments_95,a_moments,b_moments
1,1,150,1.01,1.71,0.93,1.9,0.11412,2.90348
1,2,150,1.0,1.875,0.92,1.92,0.11185,2.98027
1,3,150,1.0,1.83,0.9,1.92,0.10568,3.14149
1,4,150,1.21,2.875,1.29,2.51,0.13041,3.41485
1,5,150,1.01,2.875,1.13,2.62,0.08773,5.12911
1,6,150,0.91,2.065,0.73,2.83,0.04514,12.27308
1,7,150,1.63,4.56,1.55,4.23,0.06787,10.8742
1,8,150,1.91,4.56,1.88,4.64,0.0791,10.09733
1,9,150,1.91,4.56,1.9,4.67,0.07987,10.06698
1,10,150,1.91,4.56,1.97,5.01,0.07521,11.48801
1,11,150,1.73,3.855,1.76,4.03,0.09037,7.65713
1,12,150,1.4,2.82,1.12,3.04,0.06822,7.76849
1,13,150,0.6,1.61,0.61,2.22,0.04797,8.85336
1,14,150,0.41,1.355,0.19,1.24,0.03052,10.33308
1,15,150,0.5,1.355,0.56,1.31,0.08662,2.60129
1,16,150,0.4,1.21,0.5,1.23,0.07783,2.73247
1,17,150,0.51,1.21,0.48,1.17,0.07964,2.53628
1,18,150,0.51,1.01,0.15,1.21,0.02679,13.13777
1,19,150,0.6,1.3,0.44,2.32,0.03465,15.35447
1,20,150,0.72,1.51,0.69,2.95,0.04105,14.76353
1,21,150,1.3,2.53,1.28,4.04,0.05616,13.03394
1,22,150,1.3,2.86,1.36,4.19,0.05784,13.02348
1,23,150,1.3,2.86,1.36,3.78,0.06601,10.04973
1,24,150,1.3,2.94,1.34,3.14,0.08648,6.22866
1,25,150,1.31,4.755,1.8,5.04,0.06523,13.57325
1,26,150,1.23,4.755,1.83,5.15,0.06503,13.90175
1,27,150,2.04,4.855,2.08,5.5,0.07072,13.49966
1,28,150,2.8,4.855,2.29,5.7,0.07805,12.56434
1,29,150,2.44,4.81,2.18,5.55,0.07518,12.7519
1,30,150,2.02,3.41,1.61,3.35,0.11033,5.26913
1,31,150,1.5,3.065,1.29,2.65,0.11412,4.04839
2,1,150,1.63,3.12,1.38,2.97,0.10279,4.98123
2,2,150,1.81,3.455,1.42,3.08,0.10202,5.20149
2,3,150,1.71,3.175,1.35,2.98,0.09743,5.26848
2,4,150,1.12,2.355,1.1,2.57,0.08758,5.03933
2,5,150,1.33,2.21,1.05,2.5,0.08388,5.11818
2,6,150,1.01,1.7,0.74,1.63,0.09871,2.83667
2,7,150,0.9,1.21,0.56,1.03,0.15634,1.20674
2,8,150,0.72,1.21,0.08,0.97,0.02266,15.38728
