month,day,len,rang90,rang95,gamma_moments_90,gamma_moments_95,a_moments,b_moments
1,1,150,2.11,3.555,2.33,3.52,0.33908,2.36323
1,2,150,2.1,3.375,2.39,3.55,0.37933,2.21269
1,3,150,2.1,3.1,2.43,3.56,0.40994,2.10601
1,4,150,2.32,3.375,2.44,3.61,0.38607,2.2241
1,5,150,2.1,3.01,2.3,3.45,0.35322,2.25358
1,6,150,2.1,2.9,1.91,2.7,0.52269,1.36602
1,7,150,2.4,3.155,2.0,2.89,0.44464,1.62229
1,8,150,2.31,3.065,1.9,2.79,0.40919,1.65368
1,9,150,2.03,3.065,1.9,2.83,0.37216,1.78419
1,10,150,2.31,3.665,2.17,3.23,0.36814,2.0554
1,11,150,2.4,3.665,2.27,3.31,0.416,1.94233
1,12,150,2.31,2.9,2.24,3.18,0.50782,1.63707
1,13,150,2.4,3.12,2.44,3.39,0.57637,1.61007
1,14,150,2.4,3.12,2.41,3.34,0.59708,1.55311
1,15,150,2.4,2.9,2.28,3.15,0.61598,1.43403
1,16,150,2.21,2.7,2.16,3.0,0.59573,1.39437
1,17,150,2.31,2.955,2.25,3.25,0.45336,1.80137
1,18,150,2.22,3.165,2.16,3.15,0.41261,1.85969
1,19,150,2.43,3.465,2.39,3.53,0.38853,2.16369
1,20,150,2.2,3.165,2.28,3.38,0.38153,2.10033
1,21,150,2.2,3.165,2.21,3.32,0.35116,2.17753
1,22,150,1.61,2.355,1.94,2.89,0.36677,1.84313
1,23,150,1.73,2.675,1.96,2.94,0.35944,1.89737
1,24,150,1.51,2.2,1.57,2.28,0.43104,1.30384
1,25,150,1.7,2.31,1.69,2.47,0.41838,1.44047
1,26,150,2.0,2.82,1.79,2.61,0.41804,1.52616
1,27,150,2.02,3.21,2.09,3.03,0.43284,1.73276
1,28,150,2.0,3.375,2.19,3.24,0.38595,1.99681
1,29,150,2.0,3.375,2.19,3.24,0.39394,1.96647
1,30,150,1.9,3.1,2.29,3.52,0.31337,2.48696
1,31,150,2.04,4.2,2.59,4.02,0.30103,2.91891
2,1,150,2.4,4.02,2.56,3.98,0.29556,2.92773
2,2,150,2.73,4.02,2.63,4.02,0.32562,2.77006
2,3,150,2.82,4.02,2.79,4.15,0.37392,2.6102
2,4,150,3.21,4.41,2.89,4.21,0.42515,2.43363
2,5,150,3.01,3.8,2.61,3.79,0.43171,2.16813
2,6,150,2.71,3.655,2.43,3.59,0.39277,2.1845
2,7,150,2.02,3.21,2.28,3.35,0.40274,2.0079
2,8,150,2.01,3.21,2.21,3.29,0.37444,2.06529
2,9,150,2.0,2.71,1.8,2.64,0.40085,1.58664
2,10,150,1.73,2.455,1.65,2.41,0.40971,1.43027
2,11,150,1.7,2.2,1.52,2.24,0.39699,1.35688
2,12,150,1.3,2.2,1.4,2.11,0.34804,1.39066
2,13,150,1.21,1.975,1.35,2.05,0.32902,1.40621
2,14,150,1.21,1.5,1.27,1.91,0.35132,1.25242
2,15,150,1.4,1.5,1.23,1.82,0.38854,1.11356
2,16,150,1.5,1.9,1.56,2.36,0.3397,1.58177
2,17,150,1.6,2.12,1.62,2.42,0.3666,1.54029
2,18,150,1.81,2.41,1.69,2.53,0.36393,1.62119
2,19,150,1.9,3.175,1.91,2.88,0.34542,1.91071
2,20,150,2.32,3.655,2.0,3.03,0.3399,2.02807
2,21,150,1.9,3.51,1.83,2.81,0.32174,1.94982
2,22,150,1.94,3.22,1.87,2.91,0.29414,2.14639
2,23,150,1.91,2.955,1.88,2.89,0.31582,2.03493
2,24,150,2.52,3.855,2.07,3.09,0.36601,1.96897
2,25,150,2.8,4.21,2.93,4.6,0.28156,3.49951
2,26,150,2.8,4.1,2.95,4.58,0.29639,3.36497
2,27,128,2.8,4.815,3.17,4.88,0.31479,3.43984
2,28,128,3.09,5.59,3.36,5.08,0.34151,3.39023
2,29,128,2.93,5.865,3.29,5.04,0.31692,3.53996
