month,day,len,rang90,rang95,gamma_moments_90,gamma_moments_95,a_moments,b_moments
1,1,150,0.5,1.02,0.44,0.94,0.1073,1.51602
1,2,150,0.5,1.155,0.49,1.09,0.09809,1.90982
1,3,150,0.61,1.255,0.61,1.32,0.10198,2.22926
1,4,150,0.7,1.255,0.7,1.54,0.09818,2.69579
1,5,150,0.81,2.265,0.85,1.73,0.11587,2.60639
1,6,150,0.91,2.155,0.9,1.78,0.12591,2.49386
1,7,150,0.81,1.92,0.79,1.6,0.11722,2.38857
1,8,150,0.91,1.475,0.72,1.45,0.12101,2.09902
1,9,150,0.71,1.2,0.58,1.1,0.13857,1.41927
1,10,150,0.62,1.475,0.55,1.14,0.11407,1.7416
1,11,150,0.52,1.62,0.58,1.23,0.10637,1.99303
1,12,150,0.8,1.8,0.71,1.45,0.11819,2.14351
1,13,150,0.81,1.8,0.8,1.54,0.13411,2.04303
1,14,150,0.9,1.8,0.85,1.59,0.14773,1.9495
1,15,150,0.8,1.6,0.73,1.37,0.14447,1.70739
1,16,150,0.7,1.265,0.58,1.11,0.13906,1.42389
1,17,150,0.8,1.51,0.69,1.2,0.18716,1.22177
1,18,150,0.71,1.265,0.6,1.09,0.16505,1.21986
1,19,150,0.61,0.8,0.51,0.94,0.1549,1.1061
1,20,150,0.51,1.055,0.55,1.0,0.16249,1.14057
1,21,150,0.6,0.855,0.53,0.97,0.15376,1.14899
1,22,150,0.4,0.6,0.29,0.55,0.1443,0.68377
1,23,150,0.5,0.8,0.41,0.8,0.13298,1.06786
1,24,150,0.6,1.155,0.53,0.98,0.15021,1.18056
1,25,150,0.7,1.055,0.53,0.99,0.14923,1.20171
1,26,150,0.71,1.31,0.6,1.11,0.14969,1.34502
1,27,150,0.8,1.4,0.64,1.15,0.16181,1.31429
1,28,150,0.7,1.4,0.55,1.02,0.14684,1.26215
1,29,150,0.4,0.91,0.4,0.82,0.11831,1.21155
1,30,150,0.3,0.755,0.33,0.73,0.0963,1.30839
1,31,150,0.3,0.865,0.28,0.81,0.06238,2.28724
2,1,150,0.21,0.81,0.22,0.72,0.05403,2.4306
2,2,150,0.2,0.455,0.11,0.5,0.03914,2.69087
2,3,150,0.2,0.71,0.17,0.62,0.04729,2.53778
2,4,150,0.51,1.055,0.35,0.9,0.07367,2.1175
2,5,150,0.41,0.955,0.32,0.65,0.11933,0.96091
2,6,150,0.41,1.055,0.36,0.76,0.10797,1.22255
2,7,150,0.6,1.055,0.42,0.83,0.12855,1.13574
2,8,150,0.6,1.1,0.48,0.93,0.13321,1.24112
2,9,150,0.51,1.055,0.46,1.03,0.09302,1.89918
2,10,150,0.71,1.52,0.71,1.5,0.10782,2.40519
2,11,150,0.82,1.52,0.74,1.51,0.11503,2.29509
2,12,150,1.0,1.61,0.7,1.48,0.10631,2.40185
2,13,150,0.42,1.255,0.57,1.31,0.0902,2.49076
2,14,150,0.4,0.865,0.36,0.95,0.07153,2.31128
2,15,150,0.3,0.555,0.2,0.5,0.08159,1.04592
2,16,150,0.2,0.455,0.18,0.43,0.08409,0.88005
2,17,150,0.21,0.555,0.21,0.46,0.10101,0.78537
2,18,150,0.2,0.5,0.19,0.44,0.09376,0.80343
2,19,150,0.2,0.5,0.21,0.51,0.08372,1.0432
2,20,150,0.2,0.5,0.19,0.5,0.06818,1.29079
2,21,150,0.2,0.5,0.24,0.7,0.06272,1.97708
2,22,150,0.3,0.72,0.31,0.89,0.06453,2.4175
2,23,150,0.21,0.9,0.34,0.94,0.06652,2.46527
2,24,150,0.31,1.12,0.4,1.03,0.07535,2.35349
2,25,150,0.5,1.355,0.52,1.21,0.08835,2.35418
2,26,150,0.5,1.175,0.53,1.26,0.08448,2.55684
2,27,128,0.43,1.225,0.44,1.11,0.07595,2.52002
2,28,128,0.56,1.53,0.56,1.27,0.09019,2.42554
2,29,128,0.33,1.095,0.39,1.05,0.06917,2.64283
3,1,128,0.09,0.695,0.25,0.79,0.05549,2.5767
3,2,128,0.0,0.43,0.13,0.44,0.05249,1.56273
3,3,150,0.03,0.91,0.27,0.7,0.07235,1.66773
3,4,150,0.21,0.91,0.28,0.71,0.07705,1.58346
3,5,150,0.3,1.33,0.37,0.83,0.09545,1.49472
