month,day,len,rang90,rang95,gamma_moments_90,gamma_moments_95,a_moments,b_moments
1,1,150,1.01,1.655,1.1,2.02,0.15515,2.38477
1,2,150,1.01,1.81,1.08,1.94,0.16658,2.16111
1,3,150,1.12,1.81,1.11,1.96,0.17308,2.1262
1,4,150,1.12,2.11,1.17,2.06,0.1777,2.18348
1,5,150,0.81,2.11,1.19,2.95,0.07842,6.48648
1,6,150,0.81,1.955,0.97,2.65,0.06757,6.84771
1,7,150,0.81,2.44,1.07,2.79,0.07226,6.67949
1,8,150,0.71,2.0,0.81,2.41,0.0598,7.19062
1,9,150,0.7,1.62,0.68,2.21,0.05408,7.48314
1,10,150,0.7,1.265,0.57,1.1,0.13604,1.44571
1,11,150,0.7,1.62,0.65,1.26,0.13351,1.67779
1,12,150,0.5,1.355,0.54,1.11,0.11458,1.68736
1,13,150,0.41,1.355,0.51,1.1,0.10265,1.84447
1,14,150,0.51,1.21,0.54,1.15,0.10507,1.88449
1,15,150,0.51,1.21,0.56,1.18,0.10877,1.88165
1,16,149,0.5,1.06,0.5,1.04,0.11123,1.62916
1,17,148,0.6,1.065,0.51,1.01,0.12658,1.41453
1,18,147,0.74,1.24,0.62,1.11,0.16997,1.21269
1,19,146,0.85,1.375,0.68,1.23,0.16717,1.36441
1,20,145,0.9,1.4,0.74,1.33,0.16808,1.47303
1,21,144,0.84,1.4,0.75,1.35,0.1652,1.51333
1,22,143,0.7,1.49,0.72,1.36,0.14147,1.7301
1,23,143,0.68,1.4,0.59,1.88,0.05513,6.2153
1,24,143,0.68,1.49,0.69,2.1,0.0588,6.3863
1,25,143,0.8,2.04,0.77,2.21,0.06318,6.16543
1,26,144,0.87,2.495,0.94,2.47,0.07171,5.96573
1,27,145,0.9,2.46,1.09,2.67,0.08038,5.70544
1,28,146,0.9,2.125,1.02,1.98,0.13285,2.65522
1,29,147,0.64,1.9,0.85,1.61,0.1443,2.00833
1,30,148,0.6,1.9,0.76,1.57,0.11472,2.3795
1,31,149,0.6,1.9,0.78,1.57,0.11852,2.31597
2,1,150,0.51,1.765,0.73,1.54,0.10723,2.48683
2,2,150,0.3,1.1,0.53,1.29,0.08129,2.72264
2,3,150,0.21,1.1,0.45,1.19,0.07019,2.9443
2,4,150,0.3,1.055,0.35,0.98,0.06509,2.63217
2,5,150,0.41,1.1,0.37,0.9,0.08039,1.9157
2,6,150,0.3,1.1,0.34,0.74,0.10051,1.26691
2,7,150,0.5,1.155,0.43,0.87,0.12235,1.24777
2,8,150,0.5,1.01,0.44,0.85,0.13472,1.11836
2,9,150,0.5,1.255,0.48,0.91,0.1399,1.16274
2,10,150,0.4,1.12,0.42,1.23,0.0608,3.60772
2,11,150,0.4,1.12,0.44,1.28,0.06135,3.69451
2,12,150,0.52,1.62,0.67,1.97,0.06114,5.73565
2,13,150,0.91,2.1,0.89,2.28,0.07489,5.25243
2,14,150,1.01,2.41,1.12,2.62,0.08674,5.18778
2,15,150,1.0,2.21,0.94,2.26,0.08369,4.62799
2,16,150,0.91,2.1,0.88,2.15,0.07979,4.63703
2,17,150,1.0,1.365,0.74,1.49,0.12002,2.17744
2,18,150,0.82,1.72,0.77,1.65,0.10281,2.76896
2,19,150,0.82,1.675,0.76,1.65,0.09987,2.8437
2,20,150,1.01,2.175,0.91,2.15,0.08509,4.33242
2,21,150,1.01,2.51,0.93,2.2,0.08544,4.42394
2,22,150,0.55,3.205,0.88,2.15,0.0799,4.6309
2,23,150,0.5,1.565,0.58,1.69,0.06223,4.81047
2,24,150,0.41,1.155,0.38,1.3,0.05099,4.7456
2,25,150,0.02,1.055,0.27,0.78,0.0626,2.19373
2,26,150,0.22,1.31,0.42,1.07,0.07664,2.40078
2,27,128,0.26,1.53,0.44,1.07,0.07997,2.30546
2,28,128,0.46,1.995,0.63,1.42,0.09366,2.61074
2,29,128,0.5,1.995,0.7,1.55,0.09693,2.74855
3,1,128,0.5,1.73,0.67,1.51,0.09409,2.74835
3,2,128,0.4,1.495,0.52,1.22,0.08484,2.4772
3,3,150,0.41,1.6,0.62,1.65,0.06971,4.1124
3,4,150,0.7,1.955,0.86,2.01,0.08724,3.95853
3,5,150,0.72,1.81,0.83,1.94,0.0874,3.81387
3,6,150,0.9,1.955,0.96,2.14,0.09687,3.79219
3,7,150,1.02,2.55,1.14,2.37,0.11058,3.72586
3,8,150,1.32,3.165,1.29,2.6,0.12044,3.78611
