month,day,len,rang90,rang95,gamma_moments_90,gamma_moments_95,a_moments,b_moments
1,1,150,1.6,4.955,2.02,4.42,0.0998,7.62172
1,2,150,1.13,4.765,1.71,3.59,0.10814,5.75195
1,3,150,1.22,3.67,1.59,3.27,0.11428,4.98778
1,4,150,1.25,3.67,1.55,3.01,0.13065,4.08735
1,5,150,1.7,3.34,1.53,2.75,0.16542,3.08307
1,6,150,1.61,2.7,1.37,2.42,0.17516,2.59577
1,7,150,1.75,3.81,1.63,2.89,0.17608,3.0819
1,8,150,2.11,3.81,1.69,3.49,0.113,5.3685
1,9,150,1.65,3.565,1.51,3.29,0.10049,5.63898
1,10,150,2.01,3.22,1.51,3.32,0.0987,5.79513
1,11,150,1.55,4.225,1.59,3.5,0.09756,6.1772
1,12,150,1.51,2.955,1.39,3.19,0.09039,6.05547
1,13,150,1.5,2.955,1.35,2.65,0.12764,3.66647
1,14,150,1.51,2.81,1.32,2.56,0.1314,3.4551
1,15,150,1.0,2.055,1.08,2.09,0.13409,2.76924
1,16,150,0.9,1.765,0.82,1.87,0.0901,3.56622
1,17,150,0.8,1.6,0.74,1.81,0.08013,3.89356
1,18,150,0.61,1.165,0.5,1.45,0.06211,4.13268
1,19,150,0.4,1.0,0.41,1.33,0.05344,4.57795
1,20,150,0.4,1.165,0.41,1.51,0.04713,6.18212
1,21,150,0.41,1.465,0.62,1.68,0.06765,4.33576
1,22,150,0.8,1.63,0.81,1.97,0.08107,4.18581
1,23,150,1.0,2.505,1.07,2.29,0.10428,3.7976
1,24,150,1.21,3.11,1.41,2.69,0.13913,3.46447
1,25,150,1.44,3.575,1.81,3.78,0.10956,5.9875
1,26,150,3.01,4.11,2.48,4.98,0.12129,7.20056
1,27,150,3.12,5.21,2.95,5.74,0.13057,7.79647
1,28,150,3.33,6.835,3.37,6.43,0.13833,8.32284
1,29,150,3.63,7.985,3.24,6.44,0.12453,9.10651
1,30,150,3.33,6.995,2.93,6.11,0.11024,9.62774
1,31,150,2.22,5.355,2.43,5.34,0.09858,9.32599
2,1,150,1.19,4.445,1.85,4.46,0.0827,9.25453
2,2,150,0.8,2.31,1.11,3.23,0.06204,9.21961
2,3,150,0.91,2.31,1.05,3.0,0.06304,8.41858
2,4,150,1.0,2.31,1.1,2.46,0.09401,4.50312
2,5,150,0.81,1.485,0.86,1.91,0.09725,3.37281
2,6,150,0.82,2.655,0.92,1.85,0.12046,2.68958
2,7,150,1.0,2.655,1.03,1.98,0.1362,2.5893
2,8,150,1.0,2.655,1.04,2.0,0.13717,2.60016
2,9,150,0.91,2.51,1.0,1.87,0.14521,2.32314
2,10,150,1.03,2.3,1.02,1.86,0.15825,2.16112
2,11,150,1.03,1.965,0.96,1.8,0.14432,2.24967
2,12,150,1.41,2.21,1.11,2.04,0.15635,2.38774
2,13,150,1.31,1.92,1.1,1.98,0.16184,2.2615
2,14,150,1.3,1.92,1.12,2.01,0.16536,2.25774
2,15,150,1.03,2.055,1.12,2.11,0.14306,2.65614
2,16,150,1.12,1.955,1.1,1.99,0.16378,2.24686
2,17,150,1.12,2.0,1.1,2.02,0.15253,2.41705
2,18,150,1.4,2.155,1.22,2.22,0.16055,2.54549
2,19,150,1.5,2.475,1.31,2.35,0.16675,2.62273
2,20,150,1.5,2.92,1.36,2.57,0.1439,3.21514
2,21,150,1.83,3.43,1.5,3.06,0.11712,4.55926
2,22,150,1.84,4.13,1.82,3.68,0.11784,5.46511
2,23,150,1.83,3.755,1.79,3.67,0.11548,5.54229
