month,day,len,rang90,rang95,gamma_moments_90,gamma_moments_95,a_moments,b_moments
1,1,150,2.91,5.03,3.88,6.16,0.26916,4.83473
1,2,150,3.2,5.355,4.03,6.37,0.27256,4.96043
1,3,150,3.8,6.665,4.29,6.67,0.29524,4.91573
1,4,150,3.25,5.4,4.02,6.29,0.2868,4.72578
1,5,150,3.2,4.4,3.41,5.26,0.30864,3.75631
1,6,150,2.3,4.21,3.1,4.94,0.26243,3.94766
1,7,150,2.31,4.21,2.76,4.3,0.29534,3.16695
1,8,150,2.4,4.065,2.98,4.66,0.28799,3.4932
1,9,150,2.52,4.255,3.28,5.21,0.2693,4.08473
1,10,150,2.52,5.3,3.83,6.66,0.1864,6.80987
1,11,150,2.91,4.585,3.96,6.65,0.21099,6.20883
1,12,150,2.91,4.065,4.1,6.85,0.2164,6.27243
1,13,150,2.53,3.555,3.92,6.5,0.22198,5.84439
1,14,150,2.62,3.71,3.83,6.27,0.23557,5.40261
1,15,150,2.6,3.555,3.62,5.65,0.292,4.19401
1,16,150,2.8,4.075,4.04,6.35,0.2794,4.85809
1,17,150,3.42,4.855,4.38,6.59,0.34966,4.33563
1,18,150,3.94,6.21,4.56,6.85,0.35304,4.47536
1,19,150,3.95,5.92,4.57,6.78,0.38107,4.21091
1,20,150,4.4,6.055,4.14,5.86,0.51,3.01436
1,21,150,4.42,6.155,5.01,7.68,0.31807,5.37827
1,22,150,4.42,6.155,5.19,8.13,0.28562,6.1246
1,23,150,4.02,5.475,4.73,7.7,0.24065,6.53785
1,24,150,3.91,5.64,5.23,9.51,0.1596,10.96486
1,25,150,4.01,6.08,5.8,10.99,0.14132,13.96842
1,26,150,3.54,5.11,5.27,9.96,0.14249,12.57675
1,27,150,3.2,4.21,4.68,9.19,0.12814,12.67919
1,28,150,3.3,4.955,4.96,9.51,0.13687,12.41557
1,29,150,3.32,5.12,4.49,7.89,0.17972,8.29089
1,30,150,3.33,5.165,3.66,5.36,0.4096,3.17385
1,31,150,3.21,4.685,3.28,4.74,0.44073,2.6789
2,1,150,3.21,4.865,3.35,4.87,0.42546,2.81735
2,2,150,3.54,4.865,3.59,5.25,0.41282,3.09417
2,3,150,3.91,4.655,3.63,5.33,0.40608,3.17346
2,4,150,3.21,4.4,3.33,4.87,0.41492,2.85835
2,5,150,3.32,4.655,3.78,5.74,0.33276,3.90277
2,6,150,3.32,5.095,3.7,5.66,0.32274,3.9247
2,7,150,2.94,4.82,3.38,5.12,0.33642,3.45603
2,8,150,2.71,5.11,3.5,5.63,0.2524,4.62496
2,9,150,3.24,5.31,3.99,6.54,0.23338,5.67609
2,10,150,3.62,5.155,4.08,6.71,0.23043,5.87015
2,11,150,3.3,5.155,4.49,8.96,0.12255,12.85501
2,12,150,3.21,5.265,4.56,9.31,0.11596,14.01609
2,13,150,3.21,4.965,4.47,9.11,0.1167,13.63054
2,14,150,3.2,4.195,3.73,8.15,0.09986,14.05934
2,15,150,3.2,3.655,3.55,7.83,0.09787,13.75957
2,16,150,3.2,3.7,3.24,5.59,0.19126,5.60856
2,17,150,3.21,4.085,3.13,4.79,0.31778,3.35871
2,18,150,3.7,5.065,4.24,7.47,0.17808,7.90639
2,19,150,4.04,6.225,4.97,8.29,0.21659,7.59023
2,20,150,4.04,7.505,4.97,8.3,0.21724,7.57672
2,21,150,4.04,9.065,6.01,10.6,0.17675,11.28495
2,22,150,4.81,9.255,6.19,10.94,0.17521,11.72325
2,23,150,4.04,8.85,5.76,10.52,0.15724,12.26998
2,24,150,3.42,6.18,5.05,9.75,0.13412,12.94388
2,25,150,3.61,5.85,5.06,9.71,0.13614,12.73205
2,26,150,4.2,6.63,5.18,8.87,0.19616,8.72756
2,27,128,4.2,7.095,5.35,9.05,0.20543,8.60627
2,28,128,4.29,7.525,4.92,7.32,0.37194,4.62107
2,29,128,4.29,7.83,5.18,7.59,0.41062,4.48823
3,1,128,4.43,8.935,5.23,7.67,0.40735,4.56069
3,2,128,4.26,7.13,4.75,7.05,0.37887,4.39424
3,3,150,4.2,7.33,4.62,6.9,0.36381,4.41994
3,4,150,3.93,5.675,4.2,6.35,0.34247,4.23391
3,5,150,4.2,6.465,4.45,6.84,0.31268,4.84626
3,6,150,4.23,8.37,4.84,7.53,0.29587,5.53624
3,7,150,3.91,7.15,4.29,6.59,0.31605,4.63217
3,8,150,3.91,6.465,4.39,6.59,0.35847,4.26066
3,9,150,5.01,7.375,4.76,6.97,0.41078,4.12061
3,10,150,4.03,6.775,4.28,6.23,0.42448,3.60759
3,11,150,3.8,5.655,3.95,5.88,0.37115,3.71816
3,12,150,4.31,5.92,4.19,6.15,0.40111,3.69638
3,13,150,4.43,6.72,5.05,8.42,0.21699,7.69627
3,14,150,4.12,6.955,5.03,8.6,0.1969,8.44073
3,15,150,4.31,7.43,5.15,8.77,0.1999,8.51754
3,16,150,4.31,7.43,4.97,8.4,0.20661,7.95371
3,17,150,3.51,7.43,4.28,7.77,0.16134,8.87545
3,18,150,3.41,4.21,3.25,5.26,0.24524,4.40663
3,19,150,3.21,3.955,2.58,4.07,0.27786,3.12152
3,20,150,2.93,3.665,2.46,3.82,0.2971,2.80264
3,21,150,2.72,3.72,2.51,3.99,0.26524,3.16197
3,22,150,3.5,5.355,3.69,6.14,0.21834,5.59075
3,23,150,3.5,5.575,3.78,6.23,0.22668,5.52027
3,24,150,3.23,5.285,3.88,6.28,0.24451,5.27323
3,25,150,3.49,5.255,3.93,6.3,0.25652,5.11452
3,26,150,3.95,5.255,3.94,6.25,0.27135,4.87441
3,27,150,3.95,5.065,3.82,5.87,0.31367,4.15301
3,28,150,4.42,6.7,4.84,7.54,0.29409,5.56969
3,29,150,4.71,8.535,5.14,7.89,0.31457,5.56946
3,30,150,4.88,9.61,5.54,8.63,0.29369,6.38323
3,31,150,4.71,9.41,5.36,8.41,0.28301,6.37908
4,1,150,4.93,7.195,5.0,7.79,0.2948,5.74391
4,2,150,5.24,6.61,4.53,6.89,0.3323,4.68458
4,3,150,5.81,7.34,4.71,7.13,0.33868,4.79122
4,4,150,5.9,8.085,5.01,7.59,0.33925,5.0897
4,5,150,6.31,8.7,5.63,8.24,0.41205,4.86507
4,6,150,6.63,8.7,5.91,8.73,0.38928,5.34998
4,7,150,6.42,9.03,5.61,8.46,0.34906,5.56536
4,8,150,5.97,9.075,5.63,8.68,0.3075,6.22214
4,9,150,6.64,8.965,6.06,9.68,0.25978,7.78863
4,10,150,7.01,8.965,6.03,9.71,0.25152,7.98881
4,11,150,6.29,8.965,5.6,9.15,0.23672,7.85465
4,12,150,5.5,7.965,5.36,8.82,0.22892,7.75808
4,13,150,5.5,7.71,5.03,8.35,0.22095,7.53409
4,14,150,5.31,7.3,3.97,6.13,0.30436,4.42679
4,15,150,3.81,5.455,3.3,5.33,0.24786,4.43535
4,16,150,3.24,5.165,2.87,4.73,0.22662,4.19492
4,17,150,3.24,5.3,3.17,5.45,0.19179,5.46081
4,18,150,3.2,5.3,3.21,5.32,0.22289,4.77372
4,19,150,3.51,5.355,3.3,5.37,0.23974,4.56888
4,20,150,3.73,5.655,3.62,5.62,0.29983,4.09781
4,21,150,4.43,6.45,4.1,6.39,0.29231,4.74151
4,22,150,4.72,6.45,3.83,5.88,0.31365,4.15956
4,23,150,4.61,7.175,3.86,6.21,0.25373,5.07879
4,24,150,4.15,7.8,4.01,6.51,0.24342,5.48024
4,25,150,3.64,8.02,3.67,6.24,0.20013,6.05599
4,26,150,3.06,8.02,3.75,6.59,0.17941,6.93403
4,27,150,3.06,7.84,3.67,6.45,0.17815,6.82556
4,28,150,3.15,6.355,3.4,5.92,0.18371,6.12573
4,29,150,2.7,4.21,3.09,5.51,0.16943,6.06345
4,30,150,3.0,4.795,3.38,5.87,0.18574,6.01909
5,1,150,2.7,4.055,2.76,4.57,0.22546,4.06275
5,2,150,2.9,4.795,2.95,4.8,0.24049,4.07497
5,3,150,2.9,5.31,3.16,5.11,0.24683,4.25932
5,4,150,3.0,5.675,3.21,5.02,0.28991,3.74366
5,5,150,3.02,5.31,3.19,4.87,0.32505,3.36157
5,6,150,4.07,6.355,3.99,6.17,0.30602,4.4355
5,7,150,4.07,6.675,4.6,8.09,0.17778,8.57595
5,8,150,4.86,7.01,4.77,8.3,0.18476,8.54439
5,9,150,4.08,6.675,4.53,8.07,0.17107,8.81098
5,10,150,4.11,6.355,4.22,7.74,0.15504,9.13315
5,11,150,4.26,6.495,4.48,7.97,0.17117,8.69696
5,12,150,4.01,6.0,3.71,5.79,0.29091,4.30826
5,13,150,3.91,4.955,3.41,5.33,0.28966,3.97937
5,14,150,4.01,4.955,3.35,5.25,0.286,3.94871
5,15,150,3.66,6.0,3.74,6.19,0.22411,5.53006
5,16,150,2.61,4.365,2.65,4.65,0.1811,4.85909
5,17,150,2.71,4.655,2.82,4.84,0.19332,4.81749
5,18,150,2.71,4.755,2.84,4.89,0.1912,4.90934
5,19,150,2.24,4.25,2.75,4.74,0.19111,4.75826
5,20,150,2.24,3.755,2.67,4.24,0.26473,3.36943
5,21,150,2.61,3.755,2.68,4.27,0.26216,3.41264
5,22,150,2.61,4.02,2.66,4.32,0.24316,3.63824
5,23,150,2.25,3.8,2.55,4.11,0.24975,3.39807
5,24,150,3.02,4.255,2.79,4.47,0.2566,3.62951
5,25,150,3.35,5.61,3.41,5.52,0.24644,4.60694
5,26,150,4.21,6.11,4.35,6.87,0.27456,5.31513
5,27,150,4.03,6.765,5.15,8.25,0.25593,6.71015
5,28,150,4.81,8.495,5.19,8.37,0.24962,6.92795
5,29,150,4.93,9.855,5.53,8.79,0.26783,6.9199
5,30,150,4.22,7.365,5.0,8.16,0.23776,6.9845
5,31,150,5.33,9.765,5.71,9.26,0.24388,7.78525
6,1,150,5.66,9.765,5.6,8.89,0.26836,6.99546
6,2,150,5.66,9.71,5.55,8.84,0.26396,7.03385
6,3,150,5.06,9.285,5.28,8.49,0.25398,6.93762
6,4,150,6.0,9.71,5.41,8.62,0.26349,6.86428
6,5,150,3.93,7.64,4.4,7.22,0.23181,6.29549
6,6,150,3.53,7.155,3.93,6.51,0.22293,5.8374
6,7,150,3.93,7.585,4.37,7.08,0.24662,5.90371
6,8,150,5.55,9.265,5.3,8.45,0.26332,6.73192
6,9,150,4.77,8.965,5.09,8.18,0.25394,6.68925
6,10,150,5.46,8.965,4.9,7.76,0.27071,6.07046
6,11,150,5.13,8.875,5.07,7.99,0.27662,6.15768
6,12,150,6.57,9.155,5.82,9.06,0.29466,6.68567
6,13,150,5.19,8.82,5.15,8.15,0.27206,6.34669
6,14,150,6.02,8.775,5.25,8.28,0.27772,6.35657
6,15,150,5.48,9.0,5.29,8.3,0.28419,6.27743
6,16,150,5.13,9.0,4.97,7.92,0.26312,6.31662
6,17,150,5.42,7.94,4.6,7.46,0.24425,6.26672
6,18,150,5.42,7.94,4.41,7.24,0.23301,6.28577
6,19,150,5.6,9.075,5.19,8.92,0.19323,8.87717
6,20,150,5.24,8.62,5.05,8.74,0.18828,8.87331
6,21,150,5.91,9.185,5.49,9.35,0.20008,9.07321
6,22,150,6.03,9.23,5.32,9.09,0.19742,8.90484
6,23,150,5.01,9.065,5.07,8.81,0.18565,9.03515
6,24,150,5.28,8.81,4.42,7.29,0.22807,6.42772
6,25,150,6.03,8.9,4.84,8.23,0.20194,7.92964
6,26,150,4.21,8.81,4.43,7.65,0.19086,7.68782
6,27,150,5.44,9.805,5.17,8.49,0.23129,7.41364
6,28,150,5.83,11.235,5.21,8.61,0.22621,7.63581
6,29,150,5.04,9.625,4.69,7.99,0.20067,7.73425
6,30,150,5.44,8.71,4.41,7.4,0.21216,6.87543
7,1,150,5.44,8.015,4.2,7.07,0.21009,6.61609
7,2,150,4.36,8.6,4.34,8.88,0.1156,13.40789
7,3,150,5.81,8.71,5.29,10.04,0.14004,12.86796
7,4,150,5.99,8.6,5.66,10.4,0.155,12.27133
7,5,150,5.53,8.01,5.32,9.93,0.14786,12.16877
7,6,150,6.87,10.475,6.37,11.07,0.18572,11.35025
7,7,150,5.05,8.01,4.66,7.52,0.24843,6.24467
7,8,150,6.26,11.065,5.98,10.03,0.21205,9.32807
7,9,150,6.24,11.065,5.95,10.02,0.20952,9.39277
7,10,150,6.24,11.475,6.03,10.15,0.20931,9.52633
7,11,150,5.12,10.405,5.44,9.48,0.1838,9.8044
7,12,150,5.12,11.385,5.51,9.66,0.1802,10.14067
7,13,150,4.82,9.3,4.32,7.22,0.21664,6.60391
7,14,150,6.83,12.045,5.58,9.41,0.20821,8.86592
7,15,150,6.83,12.1,5.89,9.79,0.21915,8.88896
7,16,150,6.26,14.025,6.18,10.44,0.20676,9.88898
7,17,150,5.57,13.11,5.8,9.97,0.19335,9.91646
7,18,150,5.13,12.775,5.96,11.24,0.14333,14.12591
7,19,150,3.97,9.51,4.47,9.22,0.11311,14.18104
7,20,150,4.75,9.71,5.08,10.05,0.1252,14.15298
7,21,150,3.9,9.51,4.5,9.43,0.10912,14.98672
7,22,150,5.29,9.655,4.97,9.95,0.1219,14.33964
7,23,150,4.21,9.0,4.22,7.78,0.15328,9.26404
7,24,150,6.34,9.975,5.44,9.49,0.18406,9.79386
7,25,150,6.12,9.975,5.06,8.85,0.18211,9.21413
7,26,150,6.12,9.385,4.77,8.12,0.20022,7.87454
7,27,150,5.67,10.155,4.95,8.35,0.20778,7.87694
7,28,150,5.67,11.46,5.32,8.9,0.21552,8.1725
7,29,150,5.01,7.275,4.21,7.03,0.21531,6.46209
7,30,150,4.37,7.275,4.05,6.66,0.23065,5.82416
7,31,150,6.73,10.01,5.49,8.68,0.27267,6.75295
8,1,150,6.73,10.375,6.26,10.11,0.2476,8.41144
8,2,150,7.01,10.375,6.68,10.82,0.24436,9.0875
8,3,150,7.24,11.775,7.33,11.45,0.29028,8.53429
8,4,150,7.25,12.165,7.25,11.47,0.27185,8.94363
8,5,150,6.92,12.74,7.85,14.11,0.16561,15.80381
8,6,150,5.97,12.165,7.0,12.88,0.15422,15.25964
8,7,150,5.92,10.93,6.46,12.05,0.14756,14.7876
8,8,150,5.61,9.275,5.71,11.37,0.12339,16.20283
8,9,150,5.33,8.26,5.58,11.15,0.12272,15.96591
8,10,150,4.03,6.475,3.95,6.36,0.25029,5.25522
8,11,150,5.71,7.03,4.86,8.19,0.20793,7.72058
8,12,150,5.33,6.93,4.64,8.18,0.17627,8.73278
8,13,150,5.32,7.42,4.75,8.32,0.18041,8.72448
8,14,150,5.53,7.75,5.38,10.02,0.14864,12.23051
8,15,150,5.53,9.59,6.1,10.81,0.17399,11.65188
8,16,150,6.61,10.51,6.1,10.39,0.19925,10.1145
8,17,150,6.6,10.085,6.05,10.07,0.2194,9.13412
8,18,150,6.6,9.52,6.21,10.19,0.23211,8.87783
8,19,150,6.6,9.21,5.44,8.19,0.35272,5.35078
8,20,150,6.61,9.21,5.73,8.79,0.31828,6.154
8,21,150,5.34,7.22,5.52,9.69,0.17974,10.18536
8,22,150,6.73,12.22,7.18,11.99,0.21583,11.00254
8,23,150,6.73,13.12,7.32,12.21,0.21715,11.15364
8,24,150,7.03,14.64,7.94,13.04,0.23039,11.42129
8,25,150,6.94,15.355,7.67,12.77,0.21886,11.59946
8,26,150,6.72,15.355,7.54,12.37,0.23231,10.76722
8,27,150,6.43,11.755,6.8,11.25,0.22419,10.04781
8,28,150,6.7,11.535,7.15,12.59,0.17737,13.37286
8,29,150,5.58,14.245,7.02,12.42,0.17424,13.37603
8,30,150,5.4,10.82,6.87,12.08,0.1782,12.7874
8,31,150,6.33,10.82,6.92,12.43,0.16673,13.84301
9,1,150,4.71,9.265,6.39,11.9,0.14828,14.55386
9,2,150,4.21,6.985,5.22,9.52,0.15816,11.05223
9,3,150,4.32,6.51,4.67,8.69,0.14896,10.57975
9,4,150,4.61,7.21,4.9,8.99,0.15489,10.61828
