month,day,len,rang90,rang95,gamma_moments_90,gamma_moments_95,a_moments,b_moments
1,1,128,3.16,3.8,2.76,4.16,0.34822,2.74388
1,2,129,3.0,3.86,2.72,4.01,0.39088,2.45125
1,3,130,2.81,3.575,2.46,3.68,0.36133,2.36945
1,4,130,2.81,3.1,2.23,3.23,0.44299,1.8198
1,5,130,2.8,3.21,2.26,3.24,0.46608,1.76432
1,6,130,2.51,2.955,1.99,2.8,0.53919,1.38813
1,7,130,2.2,2.9,1.84,2.63,0.48527,1.39336
1,8,130,2.51,3.355,2.06,2.96,0.45426,1.64089
1,9,130,2.21,3.5,1.98,2.88,0.43429,1.64194
1,10,130,2.6,3.755,2.29,3.42,0.36178,2.20066
1,11,130,3.1,3.965,2.51,3.74,0.3723,2.35954
1,12,130,3.1,4.475,2.59,3.84,0.38173,2.38391
1,13,130,3.01,4.52,2.55,3.79,0.38182,2.34905
1,14,130,2.91,4.7,2.63,3.91,0.38218,2.42133
1,15,130,2.61,3.76,2.45,3.52,0.4613,1.93099
1,16,130,2.71,3.805,2.53,3.6,0.49075,1.89506
1,17,130,2.71,3.805,2.72,3.9,0.46106,2.14221
1,18,130,2.8,3.365,2.76,3.88,0.53377,1.93543
1,19,130,2.8,3.555,2.81,3.93,0.54913,1.92893
1,20,130,2.81,3.765,2.84,3.97,0.55161,1.94116
1,21,130,2.81,3.555,2.73,3.83,0.54676,1.88243
1,22,130,2.62,3.155,2.41,3.31,0.64079,1.46814
1,23,130,2.5,3.055,2.21,3.11,0.53595,1.54721
1,24,130,2.61,3.055,2.11,2.93,0.58097,1.38362
1,25,130,2.61,3.1,2.06,2.93,0.49585,1.53271
1,26,130,2.5,2.855,2.08,3.02,0.44231,1.69913
1,27,130,2.71,3.73,2.42,3.63,0.35678,2.35224
1,28,130,2.71,4.275,2.45,3.67,0.35427,2.39497
1,29,130,2.71,4.275,2.33,3.58,0.31404,2.52786
1,30,130,2.91,3.865,2.45,3.7,0.34498,2.45276
1,31,130,3.02,3.955,2.36,3.6,0.32605,2.47955
2,1,130,2.72,3.7,2.22,3.32,0.36911,2.10486
2,2,130,2.61,3.655,2.22,3.28,0.3978,1.97818
2,3,130,2.6,3.7,2.4,3.53,0.40256,2.11531
2,4,130,2.4,3.375,2.39,3.68,0.31251,2.61165
2,5,130,2.41,4.035,2.6,4.01,0.30772,2.8722
2,6,130,2.2,3.0,2.22,3.57,0.25182,2.93859
2,7,130,2.2,3.705,2.42,3.87,0.26108,3.09951
2,8,130,2.2,3.705,2.38,3.8,0.26222,3.03621
2,9,130,2.2,3.75,2.36,3.7,0.28127,2.81963
2,10,130,2.2,3.155,2.12,3.29,0.30216,2.38542
2,11,130,2.3,3.255,2.43,3.67,0.33914,2.4655
2,12,130,2.02,3.155,2.06,3.23,0.28491,2.44068
2,13,130,2.3,3.2,2.14,3.34,0.29438,2.46412
2,14,130,2.3,3.41,2.12,3.29,0.30243,2.38329
2,15,130,2.61,3.455,2.18,3.34,0.31656,2.34974
2,16,130,2.12,3.455,2.03,3.11,0.31742,2.17865
2,17,130,2.42,3.555,2.17,3.27,0.34704,2.16337
2,18,130,2.42,3.455,2.03,3.12,0.31413,2.20391
2,19,130,2.1,2.975,1.83,2.78,0.3316,1.8929
2,20,130,2.01,2.93,2.03,3.31,0.23683,2.84533
2,21,130,2.11,3.42,2.14,3.46,0.24445,2.90763
2,22,130,2.2,3.2,2.23,3.52,0.27483,2.72613
2,23,130,2.22,3.2,2.4,3.6,0.3572,2.33654
2,24,130,2.61,3.64,2.91,4.36,0.35678,2.82873
2,25,130,3.0,4.0,3.1,4.52,0.42163,2.62532
2,26,130,3.0,3.91,3.12,4.54,0.42848,2.61211
2,27,111,3.0,4.35,3.38,4.88,0.44632,2.73306
2,28,111,2.8,4.35,3.22,4.76,0.38808,2.92272
2,29,111,2.6,3.55,2.7,3.98,0.39825,2.40238
3,1,111,2.6,3.45,2.38,3.42,0.46765,1.85902
3,2,111,2.6,3.4,2.33,3.34,0.46615,1.82057
3,3,130,2.21,2.965,2.13,3.07,0.45743,1.69341
3,4,130,2.02,2.855,2.01,2.95,0.40672,1.75512
3,5,130,2.0,2.62,1.84,2.78,0.3378,1.87183
3,6,130,1.81,2.2,1.49,2.3,0.30612,1.65093
3,7,130,1.61,2.11,1.27,1.93,0.33924,1.29474
3,8,130,1.41,2.11,1.32,2.01,0.326,1.38509
3,9,130,1.6,2.91,1.67,2.53,0.33803,1.70216
3,10,130,1.93,3.21,2.18,3.32,0.32963,2.27295
3,11,130,1.94,3.54,2.44,3.85,0.27603,2.97351
3,12,130,2.91,4.155,2.58,4.05,0.2808,3.09011
3,13,130,2.91,4.155,2.65,4.14,0.29034,3.08122
3,14,130,2.63,4.155,2.54,4.04,0.26798,3.18054
3,15,130,2.31,3.71,2.15,3.45,0.25261,2.83193
3,16,130,2.4,3.33,1.88,2.9,0.30638,2.08137
3,17,130,1.91,2.455,1.61,2.53,0.28351,1.91825
3,18,130,1.81,2.455,1.66,2.78,0.21447,2.56085
3,19,130,1.7,2.1,1.55,2.59,0.21714,2.36639
3,20,130,1.71,2.675,1.63,2.7,0.22456,2.40816
3,21,130,1.71,3.165,1.84,2.96,0.25613,2.40262
3,22,130,1.81,3.165,2.04,3.11,0.33386,2.10589
3,23,130,1.91,2.73,1.9,2.72,0.47093,1.47334
3,24,130,2.0,3.11,2.03,2.96,0.41553,1.73829
3,25,130,2.2,3.255,2.25,3.29,0.40965,1.94913
3,26,130,2.02,2.855,2.01,3.02,0.35381,1.96974
3,27,130,2.22,3.53,2.06,3.26,0.27413,2.52547
3,28,130,2.22,3.355,1.97,3.19,0.24583,2.66917
3,29,130,1.84,3.3,1.77,2.91,0.23137,2.54006
3,30,130,1.62,3.3,1.68,2.83,0.20888,2.65523
3,31,130,1.62,3.3,1.89,3.16,0.21235,2.93781
4,1,130,1.82,3.3,1.98,3.27,0.22515,2.90743
4,2,130,2.01,3.52,2.06,3.41,0.22457,3.0417
4,3,130,2.01,3.52,2.08,3.4,0.23721,2.91525
4,4,130,2.01,3.385,2.02,3.24,0.25273,2.66019
4,5,130,2.32,3.565,2.01,3.08,0.31455,2.17651
4,6,130,2.21,3.22,1.84,2.78,0.34438,1.845
4,7,130,2.02,3.22,1.87,2.79,0.36721,1.77432
4,8,130,2.54,3.865,2.38,3.7,0.29707,2.71369
