month,day,len,rang90,rang95,gamma_moments_90,gamma_moments_95,a_moments,b_moments
1,1,150,3.01,4.0,2.99,4.66,0.2944,3.4398
1,2,150,3.12,3.865,2.68,4.05,0.34515,2.68286
1,3,150,2.74,3.655,2.43,3.67,0.34581,2.42905
1,4,150,2.25,3.455,2.33,3.53,0.33671,2.37793
1,5,150,2.01,3.355,2.07,3.18,0.31599,2.23635
1,6,150,1.7,2.255,1.58,2.32,0.3934,1.4133
1,7,150,1.41,1.8,1.47,2.17,0.39439,1.32018
1,8,150,1.51,2.01,1.65,2.48,0.34789,1.63652
1,9,150,1.51,2.3,1.79,2.9,0.24749,2.4136
1,10,150,1.51,2.255,1.69,2.81,0.22113,2.52946
1,11,150,1.31,2.255,1.58,2.71,0.19621,2.67066
1,12,150,1.21,2.255,1.49,2.62,0.18074,2.7406
1,13,150,1.12,1.8,1.27,2.21,0.18671,2.25303
1,14,150,1.12,1.8,1.13,1.8,0.2682,1.41684
1,15,150,1.41,1.8,1.24,1.99,0.2544,1.62473
1,16,150,1.8,2.365,1.53,2.42,0.27567,1.86694
1,17,150,1.8,2.81,1.76,2.77,0.27981,2.11813
1,18,150,1.81,3.1,1.83,2.87,0.27892,2.20131
1,19,150,1.81,2.81,1.76,2.78,0.2737,2.1532
1,20,150,2.0,2.655,1.76,2.74,0.29678,2.00825
1,21,150,1.8,2.6,1.62,2.53,0.28859,1.88963
1,22,150,1.51,2.3,1.31,2.01,0.31265,1.4265
1,23,150,1.21,2.165,1.11,1.76,0.27203,1.37484
1,24,150,1.41,2.165,1.3,2.08,0.25651,1.68675
1,25,150,1.11,1.7,1.34,2.53,0.14171,3.20838
1,26,150,1.31,1.955,1.34,2.52,0.14389,3.15525
1,27,150,1.7,2.455,1.55,2.79,0.16586,3.12306
1,28,150,1.8,2.755,1.79,3.13,0.18274,3.24689
1,29,150,1.8,2.555,1.55,2.83,0.15608,3.32298
1,30,150,1.8,2.455,1.32,2.22,0.20752,2.101
