month,day,len,rang90,rang95,gamma_moments_90,gamma_moments_95,a_moments,b_moments
1,1,150,4.53,6.555,4.42,6.79,0.31328,4.80503
1,2,150,5.16,7.81,4.94,7.68,0.29616,5.64562
1,3,150,5.16,7.7,4.5,6.95,0.30724,4.97976
1,4,150,4.01,6.21,3.97,6.15,0.29925,4.49122
1,5,150,2.99,5.92,3.68,5.72,0.29607,4.20852
1,6,150,2.9,6.21,3.72,5.88,0.27438,4.55333
1,7,150,2.9,5.44,3.38,5.04,0.36936,3.19291
1,8,150,4.0,6.51,3.98,5.84,0.40737,3.4727
1,9,150,4.81,6.93,4.57,6.95,0.32901,4.76176
1,10,150,5.3,7.785,5.14,7.65,0.3731,4.81547
1,11,150,5.0,7.31,4.92,7.33,0.37112,4.63098
1,12,150,4.91,6.795,4.69,7.07,0.34813,4.66295
1,13,150,4.44,5.355,4.24,6.57,0.30224,4.76004
1,14,150,4.22,5.31,3.93,5.89,0.36105,3.78892
1,15,150,3.12,5.065,3.38,5.05,0.36185,3.24809
1,16,150,3.75,5.4,3.66,5.38,0.40554,3.20564
1,17,150,3.39,5.31,3.49,5.12,0.40601,3.05249
1,18,150,3.35,5.2,3.21,4.71,0.40745,2.79789
1,19,150,3.0,5.2,3.07,4.51,0.40429,2.69772
1,20,150,3.82,5.2,3.28,4.82,0.40166,2.89467
1,21,150,3.82,5.31,3.58,5.29,0.38928,3.24015
1,22,150,4.1,6.455,4.16,6.14,0.39079,3.75142
1,23,150,4.13,6.72,4.36,6.36,0.42257,3.69171
1,24,150,4.1,6.455,4.39,6.31,0.46406,3.44639
1,25,150,4.43,6.455,4.73,6.88,0.4267,3.96848
1,26,150,4.4,6.31,4.72,6.99,0.38533,4.30975
1,27,150,4.01,5.42,4.3,6.36,0.38932,3.89228
1,28,150,4.01,5.2,4.26,6.28,0.39694,3.79572
1,29,150,4.4,5.5,4.37,6.59,0.34576,4.36522
1,30,150,3.91,5.2,3.86,5.8,0.35669,3.76046
1,31,150,3.9,5.065,3.68,5.63,0.32221,3.90638
2,1,150,3.9,5.365,3.81,5.95,0.28932,4.44722
2,2,150,3.72,5.23,3.7,5.85,0.273,4.54696
2,3,150,3.52,4.7,3.32,5.21,0.28488,3.93155
2,4,150,2.86,4.81,3.16,5.08,0.25372,4.1516
2,5,150,2.61,4.955,2.97,4.73,0.26295,3.77252
2,6,150,2.81,5.22,3.03,4.79,0.27334,3.72185
2,7,150,4.41,5.51,3.46,5.8,0.21265,5.38282
2,8,150,3.71,5.765,3.62,5.93,0.23452,5.1254
2,9,150,3.71,5.765,3.75,6.02,0.25714,4.87411
2,10,150,3.84,5.33,3.76,5.85,0.29663,4.2972
2,11,150,3.31,4.855,3.44,5.45,0.27122,4.25245
2,12,150,3.03,4.82,3.27,5.17,0.27166,4.03206
2,13,150,3.07,5.22,3.23,5.25,0.24054,4.45661
2,14,150,3.34,5.51,3.28,5.38,0.23267,4.67337
2,15,150,3.03,5.51,3.23,5.4,0.2144,4.97833
2,16,150,3.34,5.51,3.09,5.19,0.21103,4.84617
2,17,150,2.81,4.805,2.5,4.07,0.24116,3.44718
2,18,150,1.93,3.52,2.1,3.52,0.21349,3.25389
2,19,150,1.61,3.21,1.83,3.09,0.20695,2.92179
