month,day,len,rang90,rang95,gamma_moments_90,gamma_moments_95,a_moments,b_moments
1,1,150,2.2,5.985,2.92,5.9,0.11952,8.64602
1,2,150,2.22,8.455,3.06,6.17,0.11939,9.05154
1,3,150,3.95,8.455,3.25,6.39,0.12768,8.83973
1,4,150,2.89,7.725,2.96,5.89,0.12389,8.36194
1,5,150,2.21,5.3,2.15,4.17,0.132,5.60595
1,6,150,1.62,5.3,1.97,4.41,0.09481,7.98774
1,7,150,1.62,5.3,2.24,5.19,0.08865,10.03981
1,8,150,2.47,6.455,2.94,6.22,0.10699,10.05709
1,9,150,4.23,9.23,3.98,7.67,0.13455,10.15714
1,10,150,4.7,9.23,4.55,8.26,0.16043,9.47876
1,11,150,3.93,8.81,3.99,7.32,0.15526,8.62617
1,12,150,3.13,8.365,3.42,6.17,0.16361,6.97596
1,13,150,2.31,5.62,2.36,4.65,0.12648,6.49376
1,14,150,1.82,3.22,1.79,3.71,0.11135,5.79537
1,15,150,1.62,3.62,1.62,3.53,0.10017,6.06941
1,16,150,1.11,3.965,1.61,3.71,0.08907,7.15534
1,17,150,0.92,3.965,1.51,3.76,0.07837,8.25127
1,18,150,0.96,4.65,1.77,4.32,0.08097,9.17188
1,19,150,0.72,4.65,1.78,4.73,0.07027,11.70667
1,20,150,0.83,3.45,1.81,4.83,0.07004,11.99302
1,21,150,2.13,9.465,2.8,6.2,0.09719,10.97546
1,22,150,2.42,10.665,3.19,6.67,0.10975,10.53907
1,23,150,2.6,10.665,3.2,6.61,0.11274,10.20009
1,24,150,2.51,9.465,2.77,5.53,0.12249,7.93541
1,25,150,2.85,10.965,3.5,7.08,0.11851,10.45733
1,26,150,2.8,9.395,3.08,6.41,0.11076,10.05745
1,27,150,2.53,7.35,2.74,5.89,0.10299,9.87756
1,28,150,2.8,7.44,2.84,5.95,0.1091,9.45883
1,29,150,2.86,6.91,2.78,5.82,0.1098,9.19238
1,30,150,2.08,6.44,2.33,4.72,0.11816,6.98517
1,31,150,2.14,6.415,2.28,4.68,0.1141,7.15148
2,1,150,3.43,7.0,2.45,4.95,0.11862,7.30082
2,2,150,3.43,8.265,2.97,6.3,0.10665,10.22028
2,3,150,2.26,8.51,3.02,6.41,0.10558,10.50749
2,4,150,1.92,7.0,2.26,5.17,0.09078,9.78152
2,5,150,1.01,3.755,1.65,4.34,0.07146,10.52318
2,6,150,0.82,3.665,1.32,3.81,0.06272,10.74647
2,7,150,0.71,3.155,0.92,2.22,0.08221,4.63825
2,8,150,0.61,3.155,0.91,2.42,0.07053,5.95492
2,9,150,0.82,3.255,1.23,3.06,0.07866,6.68705
2,10,150,2.34,4.055,1.94,4.08,0.10857,6.52119
2,11,150,2.12,4.1,1.99,4.12,0.11268,6.36045
2,12,150,2.32,4.1,2.1,4.18,0.12312,5.97264
2,13,150,2.32,3.875,1.98,3.72,0.14536,4.61854
2,14,150,2.21,3.875,1.81,3.6,0.12352,5.13267
2,15,150,1.22,2.5,1.05,2.46,0.08645,4.88901
2,16,150,0.7,2.255,0.58,1.8,0.05754,5.64268
2,17,150,0.3,0.955,0.19,1.02,0.03436,6.86852
2,18,150,0.0,0.465,0.02,0.34,0.01894,8.55528
2,19,150,0.0,0.61,0.14,0.5,0.04956,1.89678
2,20,150,0.0,0.865,0.19,1.0,0.03515,6.42975
2,21,150,0.4,1.375,0.41,1.51,0.04759,6.09414
2,22,150,0.4,1.71,0.49,1.65,0.05224,5.84489
2,23,150,0.5,1.71,0.56,1.75,0.05638,5.61618
2,24,150,0.41,1.71,0.51,1.67,0.05401,5.65362
2,25,150,0.51,1.71,0.58,1.49,0.07391,3.48153
2,26,150,0.51,1.71,0.57,1.37,0.08286,2.84818
2,27,128,1.2,2.125,0.89,2.31,0.07359,5.42524
2,28,128,1.23,3.225,1.22,3.06,0.07717,6.84406
2,29,128,1.2,3.96,1.36,3.27,0.08338,6.72764
3,1,128,0.43,2.86,0.92,2.61,0.0636,7.23509
3,2,128,0.33,3.33,0.99,2.8,0.06419,7.69233
3,3,150,0.21,0.975,0.54,1.89,0.04931,7.26006
3,4,150,0.4,1.585,0.56,1.69,0.05902,5.13952
3,5,150,0.83,4.005,1.53,3.6,0.08586,7.19764
3,6,150,3.11,8.53,3.05,6.34,0.11117,9.90641
3,7,150,3.51,9.695,3.67,7.09,0.13381,9.43596
3,8,150,3.51,10.1,3.83,7.38,0.13481,9.76222
3,9,150,4.51,10.475,4.35,8.15,0.14537,10.13064
3,10,150,2.64,10.155,3.27,6.88,0.10849,10.99286
3,11,150,1.51,6.14,2.12,4.79,0.09339,8.80176
3,12,150,0.82,3.2,1.52,4.17,0.06688,10.91502
3,13,150,1.2,3.2,1.5,3.97,0.071,9.69943
3,14,150,1.11,1.93,1.05,3.01,0.06295,8.46145
3,15,150,1.2,1.555,0.98,2.79,0.06351,7.73621
3,16,150,1.0,1.5,0.72,2.89,0.04345,13.27062
3,17,150,1.4,2.93,1.24,3.51,0.06424,9.63112
3,18,150,1.54,3.355,1.75,4.39,0.07662,9.88439
3,19,150,1.54,3.355,1.75,4.42,0.07579,10.07151
3,20,150,1.94,5.375,2.06,4.9,0.0841,10.01208
3,21,150,2.31,5.375,2.29,4.59,0.12119,6.65049
3,22,150,2.03,5.71,2.63,6.16,0.08703,12.14138
3,23,150,2.0,7.835,2.6,6.17,0.08487,12.4742
3,24,150,2.31,5.53,2.75,6.3,0.09036,11.97413
3,25,150,2.4,6.465,3.11,6.88,0.09683,12.22123
3,26,150,1.54,5.155,2.42,5.98,0.0793,12.96344
3,27,150,1.25,4.065,1.55,3.81,0.07943,8.25843
3,28,150,1.21,3.61,1.26,3.18,0.07597,7.21356
3,29,150,1.21,3.61,1.48,3.66,0.07884,7.99106
3,30,150,1.34,3.61,1.47,3.31,0.09361,6.07483
3,31,150,1.82,4.36,1.74,3.79,0.10078,6.48259
4,1,150,2.52,5.64,2.5,5.17,0.11328,7.93884
4,2,150,2.85,6.77,2.98,5.88,0.12608,8.2331
4,3,150,3.33,6.495,3.11,6.0,0.13422,7.96234
4,4,150,2.85,6.495,3.04,5.87,0.1333,7.83695
4,5,150,3.3,6.955,3.42,6.49,0.14017,8.3135
4,6,150,3.66,6.955,3.59,6.83,0.13995,8.7553
4,7,150,4.28,6.955,3.91,7.21,0.15263,8.61363
4,8,150,5.0,6.64,3.79,7.05,0.14891,8.59563
4,9,150,5.04,7.905,4.32,7.62,0.17585,8.14709
4,10,150,5.31,6.255,4.36,7.82,0.16765,8.67305
4,11,150,5.31,7.45,4.27,7.66,0.16714,8.51564
4,12,150,5.03,7.45,4.2,7.75,0.15235,9.26808
4,13,150,5.41,8.065,4.25,7.84,0.15237,9.37614
4,14,150,4.71,7.45,3.43,6.96,0.11826,10.2934
4,15,150,2.77,6.585,2.86,5.91,0.11248,9.13328
4,16,150,2.24,4.91,2.08,4.52,0.10122,7.69928
4,17,150,2.21,4.555,1.79,3.71,0.11235,5.73786
4,18,150,2.21,3.555,1.61,3.21,0.12353,4.56555
4,19,150,2.61,3.555,1.81,3.42,0.14263,4.31414
4,20,150,3.02,4.275,2.34,4.48,0.13751,5.82745
4,21,150,3.11,4.5,2.45,4.62,0.14326,5.80742
4,22,150,3.2,4.72,2.62,4.69,0.16828,5.18182
4,23,150,4.01,6.21,3.53,6.32,0.16883,6.96957
4,24,150,4.71,7.96,3.94,6.81,0.19022,6.86239
4,25,150,4.52,6.465,3.84,6.56,0.19756,6.42843
4,26,150,4.5,6.875,3.87,6.6,0.20002,6.39937
4,27,150,4.01,6.15,3.53,6.14,0.18536,6.30498
4,28,150,3.11,5.21,2.82,4.77,0.2057,4.53402
4,29,150,3.11,5.375,2.74,4.7,0.1936,4.67626
4,30,150,3.2,5.41,2.59,4.39,0.20225,4.22908
5,1,150,3.22,5.41,2.74,5.25,0.13751,6.82625
5,2,150,5.1,6.52,4.08,7.39,0.16203,8.41403
5,3,150,6.01,7.755,5.64,10.17,0.16395,11.48291
5,4,150,6.72,10.365,6.44,11.52,0.16878,12.70665
5,5,150,7.43,18.55,7.87,13.7,0.18488,14.09886
5,6,150,7.9,16.245,8.33,13.93,0.21446,12.84147
5,7,150,7.44,16.245,7.61,13.17,0.18862,13.34586
5,8,150,5.02,10.86,5.64,10.48,0.14952,12.72508
5,9,150,4.73,9.405,5.1,10.42,0.11566,15.71867
5,10,150,4.04,6.55,3.63,8.51,0.08648,16.89706
5,11,150,4.41,6.55,3.46,8.35,0.08211,17.46349
5,12,150,3.73,6.28,2.97,7.58,0.07513,17.40872
5,13,150,4.05,8.32,3.82,8.71,0.09126,16.37759
5,14,150,2.97,8.32,3.32,7.1,0.10446,11.74947
5,15,150,4.66,9.985,3.91,7.18,0.15426,8.50953
5,16,150,2.93,8.61,3.7,7.22,0.13022,9.83464
5,17,150,3.2,8.61,3.69,7.18,0.13091,9.72646
5,18,150,5.07,8.61,4.37,8.19,0.1455,10.1718
5,19,150,5.71,8.61,5.03,8.91,0.17343,9.62912
