month,day,len,rang90,rang95,gamma_moments_90,gamma_moments_95,a_moments,b_moments
1,1,150,3.32,6.4,3.44,6.1,0.1733,6.59362
1,2,150,3.5,7.555,3.61,6.7,0.15094,8.06963
1,3,150,3.99,9.2,4.53,8.35,0.15318,9.94047
1,4,150,4.19,10.01,4.88,8.59,0.17774,9.10326
1,5,150,5.95,10.01,5.05,8.77,0.18589,8.98735
1,6,150,4.46,9.54,5.06,8.84,0.18244,9.18669
1,7,150,5.01,8.575,4.78,8.25,0.19044,8.30704
1,8,150,4.46,8.075,4.56,7.94,0.1848,8.17442
1,9,150,5.0,7.575,4.1,7.17,0.18195,7.47083
1,10,150,4.46,5.95,3.75,6.77,0.1627,7.69086
1,11,150,4.0,5.95,3.21,5.95,0.15079,7.17977
1,12,150,2.74,5.95,3.03,5.79,0.13753,7.52294
1,13,150,2.34,5.265,2.45,4.32,0.17619,4.60869
1,14,150,2.21,5.4,2.46,4.28,0.18666,4.36807
1,15,150,3.0,6.04,2.8,4.69,0.21358,4.33556
1,16,150,4.03,6.73,3.44,6.4,0.1496,7.76289
1,17,150,4.03,6.73,3.62,7.08,0.1295,9.68837
1,18,150,3.62,6.04,3.43,6.8,0.12473,9.60484
1,19,150,3.62,7.11,3.56,7.17,0.12029,10.45285
1,20,150,3.81,7.4,4.09,8.01,0.12891,10.99991
1,21,150,3.62,7.13,3.78,7.15,0.14217,9.04531
1,22,150,3.6,7.13,3.8,6.77,0.16979,7.44057
1,23,150,3.62,7.4,4.17,7.23,0.18808,7.34097
1,24,150,3.62,8.5,4.11,7.17,0.18263,7.45026
1,25,150,3.21,6.23,3.29,5.91,0.16701,6.57059
1,26,150,3.42,6.72,3.34,5.93,0.17159,6.46519
1,27,150,4.31,7.475,3.62,6.34,0.18186,6.60217
1,28,150,4.12,8.635,3.64,6.52,0.1672,7.24862
1,29,150,3.65,7.065,3.71,7.16,0.13385,9.52838
1,30,150,4.42,7.865,4.2,8.09,0.13472,10.70881
1,31,150,3.38,7.865,3.71,7.52,0.11797,11.14365
2,1,150,3.38,8.385,3.73,7.65,0.11448,11.65276
2,2,150,4.51,8.385,3.91,7.83,0.12143,11.32068
2,3,150,4.67,8.385,3.82,7.3,0.1384,9.44119
2,4,150,4.14,8.16,3.76,6.94,0.15215,8.30752
2,5,150,5.82,9.355,4.68,8.04,0.19433,7.97261
2,6,150,5.03,8.16,4.25,7.18,0.20667,6.79988
2,7,150,4.1,6.55,3.86,6.56,0.20177,6.32735
2,8,150,4.1,6.165,3.7,6.0,0.24356,5.04735
2,9,150,4.13,6.165,3.87,6.23,0.25093,5.13291
2,10,150,4.13,5.91,3.83,6.03,0.27734,4.63924
2,11,150,4.13,5.91,3.81,6.05,0.26837,4.76201
2,12,150,4.42,6.21,4.21,6.67,0.27117,5.21204
2,13,150,4.47,6.375,4.71,7.98,0.20386,7.63252
2,14,150,4.83,6.82,4.47,7.57,0.20454,7.22909
2,15,150,4.0,7.055,4.07,7.5,0.15328,8.92508
2,16,150,5.82,10.365,5.25,9.74,0.15069,11.75072
2,17,150,5.82,10.365,5.28,10.0,0.14118,12.73093
2,18,150,5.92,10.11,5.19,9.51,0.15568,11.18508
2,19,150,4.99,10.365,4.94,9.29,0.14394,11.63875
2,20,150,4.95,9.975,4.98,9.56,0.13607,12.54247
2,21,150,4.95,9.565,4.94,9.39,0.13937,12.08275
2,22,150,5.44,9.755,5.4,9.68,0.16705,10.77151
2,23,150,5.44,10.625,5.71,10.59,0.15013,12.81592
2,24,150,6.1,10.79,6.41,11.48,0.16777,12.73142
2,25,150,6.17,12.425,6.55,11.39,0.1857,11.68174
2,26,150,6.1,9.62,6.04,10.21,0.20513,9.72712
2,27,128,5.56,7.885,5.59,9.87,0.17598,10.54821
2,28,128,5.82,7.955,5.66,9.41,0.21977,8.52104
2,29,128,6.72,9.62,5.74,9.26,0.24973,7.65522
3,1,128,7.0,9.62,5.74,9.09,0.26972,7.12842
3,2,128,6.6,9.62,5.34,8.8,0.22705,7.78665
3,3,150,5.7,9.01,5.0,8.29,0.22186,7.45527
3,4,150,5.01,8.315,4.36,7.2,0.22619,6.38389
3,5,150,3.85,6.655,3.65,6.19,0.20303,5.94328
3,6,150,3.61,6.205,3.27,5.59,0.19766,5.47058
3,7,150,3.33,6.205,3.12,6.39,0.11559,9.64359
3,8,150,3.15,5.98,2.87,6.17,0.10327,10.30922
3,9,150,2.74,6.4,2.83,6.16,0.10048,10.56304
3,10,150,3.1,8.29,3.45,7.9,0.09076,14.94854
3,11,150,3.65,9.63,3.75,8.34,0.09611,14.9142
3,12,150,4.17,9.63,3.97,8.29,0.11022,13.05817
3,13,150,4.92,9.63,4.68,9.12,0.1309,12.3602
3,14,150,4.81,8.445,4.86,9.77,0.12048,14.22091
3,15,150,3.2,7.13,4.08,8.51,0.1104,13.38187
3,16,150,2.84,6.26,3.79,8.18,0.10227,13.80033
3,17,150,3.2,5.375,3.75,7.79,0.11147,12.14026
3,18,150,3.22,5.99,3.63,7.66,0.10714,12.38218
3,19,150,3.4,6.665,3.49,6.86,0.1275,9.50615
3,20,150,4.04,6.665,3.62,6.32,0.18256,6.56574
3,21,150,4.13,6.665,3.75,6.49,0.18826,6.58667
3,22,150,4.42,7.735,3.86,6.67,0.19011,6.71901
3,23,150,4.12,6.72,3.58,6.08,0.20262,5.84668
3,24,150,4.12,7.78,3.54,6.15,0.18726,6.26576
3,25,150,3.05,7.285,3.27,5.73,0.17991,6.02147
3,26,150,2.51,4.465,2.36,4.31,0.15871,4.986
3,27,150,2.0,3.61,1.9,3.52,0.15013,4.26292
3,28,150,1.41,2.765,1.48,2.99,0.11843,4.41896
3,29,150,1.4,2.355,1.36,2.61,0.13644,3.4106
3,30,150,1.4,2.655,1.26,3.36,0.07003,8.34931
3,31,150,1.81,3.25,1.7,3.97,0.08707,7.82532
4,1,150,1.81,3.46,1.69,3.95,0.08691,7.80135
4,2,150,2.21,4.365,2.03,4.4,0.10098,7.51321
4,3,150,2.3,4.31,2.0,4.3,0.10262,7.23687
4,4,150,2.21,4.4,1.94,3.45,0.17154,3.7621
4,5,150,2.3,4.565,1.92,4.82,0.07707,10.77784
4,6,150,2.33,4.755,2.25,5.28,0.08622,10.51613
4,7,150,2.38,5.575,2.57,5.87,0.091,11.06964
4,8,150,3.25,7.635,2.94,6.34,0.10245,10.67167
4,9,150,3.11,8.93,3.12,6.78,0.1005,11.62854
4,10,150,2.21,7.745,2.79,5.46,0.129,7.49347
4,11,150,2.11,5.665,2.43,4.97,0.11513,7.5332
4,12,150,2.1,3.255,1.83,3.94,0.10331,6.58235
4,13,150,1.36,2.255,1.2,3.09,0.07398,7.21818
4,14,150,1.63,2.255,1.21,2.33,0.13616,3.05515
4,15,150,1.42,2.31,1.24,2.31,0.14769,2.83484
4,16,150,0.83,2.01,1.05,2.1,0.12124,3.04619
4,17,150,0.83,2.65,1.07,2.28,0.10589,3.72729
4,18,150,1.22,3.1,1.23,2.54,0.11332,3.89462
4,19,150,1.22,3.465,1.47,3.52,0.08349,7.23397
4,20,150,1.7,3.655,1.74,4.05,0.08831,7.86656
4,21,150,2.71,4.155,2.21,4.58,0.11203,7.10501
4,22,150,2.71,4.155,2.52,4.92,0.1294,6.73364
4,23,150,2.8,4.255,2.57,4.94,0.13625,6.46844
4,24,150,2.33,4.155,2.17,4.03,0.15023,4.87255
4,25,150,2.3,4.01,1.81,4.06,0.09436,7.39684
4,26,150,1.66,4.465,1.88,4.23,0.0936,7.77028
4,27,150,1.66,6.385,1.99,4.39,0.09773,7.72201
4,28,150,1.6,6.855,2.4,5.24,0.09947,9.07518
4,29,150,1.2,6.755,2.16,4.91,0.09194,9.16509
4,30,150,1.24,6.385,2.01,4.18,0.11132,6.52783
5,1,150,1.2,3.465,1.65,3.65,0.097,6.46735
5,2,150,1.2,2.76,1.23,3.03,0.07938,6.5757
5,3,150,1.01,1.52,0.82,1.61,0.13016,2.19224
5,4,150,1.11,2.1,0.96,1.79,0.14794,2.19464
5,5,150,1.02,2.1,0.98,1.82,0.14935,2.21409
5,6,150,0.9,1.875,0.96,1.86,0.13205,2.50401
5,7,150,0.9,1.4,0.85,1.63,0.13783,2.1185
5,8,150,1.1,1.92,1.06,1.95,0.15427,2.30767
5,9,150,0.91,1.655,1.07,2.21,0.11405,3.37287
5,10,150,1.1,1.655,1.15,2.28,0.12598,3.18571
5,11,150,1.1,1.655,1.14,2.28,0.12294,3.25907
5,12,150,1.11,3.165,1.33,2.6,0.12948,3.55275
5,13,150,1.21,1.655,1.2,2.41,0.12181,3.46976
5,14,150,1.41,2.03,1.23,2.22,0.16485,2.49515
5,15,150,1.5,2.685,1.28,2.28,0.17199,2.47682
5,16,150,1.6,2.73,1.47,2.78,0.14207,3.52397
5,17,150,1.81,2.955,1.66,2.97,0.16908,3.26868
5,18,150,2.31,3.255,2.03,4.02,0.12471,5.67731
5,19,150,2.22,3.3,1.81,3.81,0.10735,6.14828
5,20,150,1.92,3.11,1.47,3.43,0.08752,6.72628
5,21,150,1.33,2.955,1.15,2.86,0.07808,6.30095
5,22,150,1.2,2.555,0.97,2.61,0.06851,6.64642
5,23,150,0.82,1.93,0.86,1.73,0.1209,2.5035
5,24,150,1.01,1.93,0.97,1.89,0.12899,2.59966
5,25,150,1.2,2.31,1.26,2.45,0.13045,3.32683
5,26,150,1.2,2.2,1.23,2.41,0.12753,3.34035
5,27,150,1.2,1.955,1.15,2.27,0.12531,3.1975
5,28,150,1.2,1.955,1.07,2.21,0.11281,3.40385
5,29,150,1.01,1.9,0.88,1.9,0.10356,3.16085
5,30,150,0.91,1.765,0.72,1.42,0.12412,2.01955
5,31,150,1.01,2.11,0.82,1.57,0.13748,2.03667
6,1,150,1.0,1.965,0.8,1.46,0.15744,1.698
6,2,150,1.01,2.155,0.93,1.93,0.11085,3.0251
6,3,150,1.01,1.965,0.86,1.84,0.10372,3.06586
6,4,150,1.01,2.32,1.08,2.23,0.11311,3.43021
6,5,150,0.9,1.955,0.99,2.12,0.10393,3.52161
6,6,150,0.8,1.675,0.81,1.98,0.08122,4.18627
6,7,150,0.7,1.4,0.63,1.51,0.08297,3.1255
6,8,150,0.9,1.955,0.82,1.77,0.10261,2.96908
6,9,150,0.81,1.9,0.7,1.46,0.10927,2.31224
6,10,150,0.64,2.01,0.74,1.6,0.10079,2.73169
6,11,150,1.12,3.065,0.94,1.88,0.12097,2.72798
6,12,150,1.1,3.065,1.0,1.95,0.13071,2.65218
6,13,150,1.11,3.065,1.08,2.05,0.1396,2.6314
6,14,150,1.0,3.02,0.97,1.92,0.12566,2.68981
6,15,150,1.01,2.7,1.0,1.88,0.14497,2.33614
6,16,150,1.0,2.075,1.01,2.3,0.09072,4.35796
6,17,150,1.2,2.7,1.32,2.83,0.10424,4.68773
6,18,150,1.34,2.755,1.45,2.97,0.11464,4.51868
6,19,150,2.02,2.965,1.7,3.24,0.13843,4.18989
6,20,150,2.31,3.6,1.81,3.41,0.14356,4.28618
6,21,150,2.4,3.6,1.78,3.01,0.20509,2.87034
