month,day,len,rang90,rang95,gamma_moments_90,gamma_moments_95,a_moments,b_moments
1,1,150,4.88,7.93,5.19,7.58,0.42033,4.41398
1,2,150,4.8,6.94,4.78,6.99,0.41372,4.1155
1,3,150,4.8,5.965,4.67,6.83,0.41509,4.01201
1,4,150,4.62,5.965,4.64,6.67,0.4584,3.67364
1,5,150,4.03,5.52,4.43,6.37,0.46095,3.49282
1,6,150,4.62,5.965,4.51,6.38,0.51004,3.28077
1,7,150,4.23,6.32,4.39,6.28,0.47169,3.39629
1,8,150,3.91,6.5,4.36,6.42,0.39777,3.87663
1,9,150,3.8,7.105,4.28,6.51,0.33244,4.42791
1,10,150,4.28,7.375,4.51,6.79,0.35084,4.45598
1,11,150,3.92,6.555,4.3,6.46,0.35444,4.20759
1,12,150,4.11,6.02,4.23,6.21,0.40734,3.69059
1,13,150,4.1,5.355,3.69,5.2,0.52707,2.61826
1,14,150,4.2,5.4,4.05,5.54,0.66036,2.41181
1,15,150,4.2,5.84,4.15,5.73,0.60641,2.63628
1,16,150,3.91,5.11,3.75,5.28,0.52494,2.66444
1,17,150,3.43,5.95,4.0,5.87,0.40667,3.49508
1,18,150,3.91,6.85,4.16,6.11,0.40069,3.67365
1,19,150,3.82,6.255,3.87,5.78,0.36628,3.68203
1,20,150,3.82,5.61,3.77,5.56,0.39459,3.37734
1,21,150,4.0,5.975,4.11,6.04,0.4036,3.61246
1,22,150,4.0,5.455,3.71,5.34,0.45516,2.95283
1,23,150,3.91,5.265,3.94,5.69,0.44959,3.1718
1,24,150,4.0,5.885,4.21,6.12,0.4276,3.52509
1,25,150,4.11,5.885,4.2,6.14,0.41488,3.60743
1,26,150,4.41,7.42,4.68,6.74,0.45701,3.71836
1,27,150,6.2,7.42,5.29,7.35,0.58086,3.47414
1,28,150,6.21,7.555,5.23,7.22,0.60943,3.31127
1,29,150,6.21,7.555,5.29,7.34,0.58906,3.43938
1,30,150,6.02,7.32,5.24,7.25,0.59889,3.36402
1,31,150,5.42,6.83,5.27,7.76,0.39903,4.67798
2,1,150,4.61,6.21,4.74,7.33,0.30571,5.27088
2,2,150,4.74,6.575,4.8,7.5,0.28881,5.6093
2,3,150,4.65,6.31,4.93,7.85,0.26559,6.22007
2,4,150,3.89,6.31,4.71,7.67,0.23993,6.52144
2,5,150,5.3,7.02,4.86,7.65,0.27852,5.86186
2,6,150,5.31,7.31,5.01,7.91,0.27512,6.11853
2,7,150,4.7,6.455,4.55,7.34,0.24946,6.07442
2,8,150,3.6,6.05,3.66,6.07,0.22089,5.47777
2,9,150,4.01,5.735,3.69,6.13,0.22159,5.51779
2,10,150,3.6,4.655,3.16,5.07,0.25426,4.14018
2,11,150,3.41,4.655,3.01,4.81,0.26125,3.85333
2,12,150,3.4,4.475,3.15,5.06,0.25554,4.1194
2,13,150,4.11,5.4,3.97,5.98,0.34641,3.95871
2,14,150,5.0,6.99,4.56,6.87,0.34898,4.52361
2,15,150,5.4,7.91,4.84,7.28,0.35152,4.77171
2,16,150,5.22,7.91,4.85,7.22,0.37158,4.55885
2,17,150,5.01,6.99,4.82,7.07,0.40647,4.207
2,18,150,4.52,7.08,4.4,6.68,0.3368,4.50124
2,19,150,3.91,5.955,3.77,5.73,0.33382,3.88633
2,20,150,3.81,5.585,3.72,5.67,0.32906,3.87973
2,21,150,3.81,6.065,3.84,5.76,0.35902,3.72129
2,22,150,3.9,6.255,3.83,5.78,0.34303,3.85193
2,23,150,3.81,5.72,3.73,5.5,0.39456,3.34042
2,24,150,4.33,6.52,4.04,6.0,0.38016,3.7318
2,25,150,3.81,6.21,3.65,5.3,0.43146,3.03466
2,26,150,4.6,6.3,3.93,5.72,0.42971,3.28281
