month,day,len,rang90,rang95,gamma_moments_90,gamma_moments_95,a_moments,b_moments
1,1,133,2.28,3.2,2.33,3.38,0.43862,1.91476
1,2,134,2.2,2.875,2.32,3.36,0.44934,1.87173
1,3,135,2.2,2.63,2.21,3.05,0.60553,1.40312
1,4,135,2.2,2.72,2.17,2.98,0.61721,1.35736
1,5,135,2.4,3.29,2.43,3.37,0.60239,1.55553
1,6,135,2.36,3.15,2.63,3.78,0.46052,2.07335
1,7,135,2.36,3.59,2.61,3.81,0.4197,2.22205
1,8,135,2.16,3.59,2.46,3.7,0.35257,2.41615
1,9,135,2.16,3.29,2.33,3.61,0.29801,2.64475
1,10,135,1.78,2.83,1.99,3.2,0.2538,2.61794
1,11,135,1.86,2.73,1.76,2.63,0.36171,1.69154
1,12,135,1.86,2.73,1.71,2.52,0.39467,1.52775
1,13,135,1.9,2.7,1.72,2.52,0.40289,1.51131
1,14,135,1.8,2.13,1.61,2.28,0.49697,1.19241
1,15,135,1.8,2.25,1.89,2.68,0.50775,1.38301
1,16,135,2.0,2.6,1.92,2.69,0.54623,1.32491
1,17,135,2.0,2.26,1.95,2.7,0.5966,1.25403
1,18,135,2.06,2.26,1.99,2.72,0.64989,1.19907
1,19,135,2.1,2.46,2.06,2.8,0.67377,1.20494
1,20,135,1.76,2.2,1.71,2.3,0.72688,0.94366
1,21,135,1.66,2.2,1.63,2.19,0.75192,0.87973
1,22,135,1.56,1.96,1.51,2.08,0.63546,0.92671
1,23,135,1.56,1.8,1.5,2.09,0.57176,1.00017
1,24,135,1.6,1.83,1.49,2.08,0.57405,0.99101
1,25,135,1.7,2.2,1.64,2.28,0.57745,1.0801
1,26,135,1.86,2.29,1.72,2.42,0.53116,1.21049
1,27,135,1.96,2.8,1.82,2.56,0.545,1.25994
1,28,135,1.9,2.59,1.74,2.46,0.51813,1.25094
1,29,135,1.76,2.29,1.54,2.27,0.3967,1.37243
1,30,136,1.25,2.125,1.33,2.04,0.31382,1.44096
1,31,137,1.22,1.96,1.28,1.95,0.31883,1.36675
2,1,138,1.3,1.815,1.24,1.85,0.36028,1.19272
2,2,139,1.3,2.32,1.3,1.95,0.36409,1.2488
2,3,140,1.7,2.5,1.61,2.34,0.42426,1.35531
2,4,140,1.71,2.5,1.64,2.35,0.46861,1.27732
2,5,140,1.82,2.5,1.68,2.44,0.44021,1.37921
2,6,140,2.01,2.905,1.77,2.57,0.43735,1.46009
2,7,140,2.0,2.71,1.82,2.58,0.49867,1.34644
2,8,140,2.01,2.51,1.98,2.94,0.37813,1.83423
2,9,140,2.2,2.705,2.08,3.03,0.41931,1.76821
2,10,140,2.21,2.805,2.13,3.07,0.45212,1.7031
2,11,140,2.1,2.505,2.08,2.99,0.45765,1.64818
2,12,140,2.22,2.805,2.2,3.2,0.42972,1.83839
2,13,140,2.1,2.8,1.86,2.61,0.5454,1.28347
2,14,140,2.01,2.605,1.76,2.47,0.52855,1.24329
2,15,140,1.71,2.31,1.66,2.35,0.51271,1.20369
2,16,140,1.8,2.8,1.79,2.58,0.44727,1.44367
2,17,140,1.53,2.31,1.6,2.31,0.44376,1.30058
2,18,140,1.8,2.405,1.62,2.35,0.42744,1.35524
2,19,140,1.8,2.42,1.55,2.31,0.37693,1.44211
2,20,140,1.6,2.005,1.46,2.18,0.37296,1.37125
2,21,140,1.51,1.905,1.29,1.89,0.39913,1.14178
2,22,140,1.6,2.1,1.48,2.14,0.44752,1.19709
2,23,140,1.72,2.805,1.71,2.46,0.45528,1.3618
2,24,140,2.1,2.91,1.91,2.72,0.4921,1.42973
2,25,140,2.2,3.105,2.04,2.98,0.41163,1.75954
2,26,140,2.2,3.205,2.07,3.04,0.40199,1.82485
2,27,119,2.2,2.83,1.95,2.94,0.34972,1.93434
2,28,119,1.64,2.5,1.71,2.65,0.29521,1.95559
2,29,119,1.42,2.02,1.49,2.34,0.27987,1.78655
3,1,119,1.42,2.01,1.34,2.0,0.36556,1.2781
3,2,119,1.6,2.13,1.41,2.06,0.41815,1.2058
3,3,140,1.62,2.115,1.47,2.19,0.36695,1.39567
3,4,140,1.71,2.115,1.51,2.27,0.35064,1.48706
3,5,140,1.8,2.41,1.56,2.38,0.32312,1.6513
3,6,140,1.8,2.61,1.8,2.92,0.24159,2.47466
3,7,140,1.8,2.8,1.81,3.01,0.22237,2.70143
3,8,140,2.1,2.81,1.9,3.09,0.24128,2.61699
3,9,140,1.92,2.8,1.84,3.0,0.23791,2.564
3,10,140,1.81,2.8,1.78,2.91,0.23836,2.48421
3,11,140,1.92,2.805,1.68,2.55,0.33139,1.73943
3,12,140,2.12,3.0,1.72,2.58,0.35863,1.66506
3,13,140,1.9,3.105,1.87,2.89,0.30374,2.08824
3,14,140,2.3,3.315,2.0,3.05,0.33155,2.07466
3,15,140,2.34,3.605,2.22,3.45,0.29742,2.52652
3,16,140,2.3,3.715,2.17,3.45,0.27001,2.69829
3,17,140,1.91,3.305,1.92,3.14,0.23607,2.70201
3,18,140,1.62,2.315,1.65,2.68,0.23975,2.28513
3,19,140,1.81,2.605,1.74,2.83,0.23969,2.41089
3,20,140,1.6,2.315,1.44,2.28,0.26606,1.8068
3,21,140,1.6,2.0,1.25,1.97,0.28038,1.50561
3,22,140,1.81,2.315,1.5,2.38,0.27257,1.85011
3,23,140,1.62,2.3,1.45,2.31,0.26095,1.85583
3,24,140,1.51,2.2,1.44,2.28,0.26926,1.7906
3,25,140,1.41,2.205,1.45,2.3,0.26616,1.81955
3,26,140,1.4,2.2,1.52,2.35,0.3064,1.68783
3,27,140,1.31,2.01,1.46,2.33,0.25915,1.87701
3,28,140,1.31,2.01,1.44,2.32,0.2461,1.94172
3,29,140,1.3,1.805,1.23,2.03,0.228,1.78882
3,30,140,1.31,1.91,1.34,2.27,0.20472,2.16327
3,31,140,1.51,3.2,1.63,2.83,0.18868,2.86576
4,1,140,1.42,2.515,1.54,2.6,0.20584,2.46725
4,2,140,1.61,2.5,1.55,2.6,0.21241,2.41444
4,3,140,1.4,2.12,1.41,2.45,0.18696,2.49861
4,4,140,1.7,2.5,1.53,2.51,0.22789,2.21914
4,5,140,1.71,2.5,1.42,2.2,0.30114,1.59869
4,6,140,2.01,2.91,1.71,2.82,0.22694,2.49599
4,7,140,2.1,3.11,1.77,2.9,0.23449,2.50997
4,8,140,2.13,3.11,1.8,2.94,0.23812,2.51669
4,9,140,2.13,3.3,1.83,2.98,0.24292,2.51108
4,10,139,2.46,3.41,2.01,3.34,0.22017,3.02582
4,11,138,2.76,3.415,2.13,3.51,0.22873,3.08578
4,12,137,2.9,4.28,2.33,3.81,0.23412,3.3017
4,13,136,3.25,5.1,2.71,4.26,0.28315,3.22525
4,14,135,3.5,5.2,3.02,4.65,0.30846,3.32831
4,15,135,3.5,5.2,2.98,4.61,0.302,3.34564
4,16,135,3.8,5.13,2.97,4.47,0.34892,2.94455
4,17,135,3.5,4.54,2.84,4.28,0.35015,2.81361
4,18,135,3.46,4.03,2.64,4.02,0.33273,2.72937
4,19,135,2.86,3.79,2.26,3.47,0.31319,2.45742
4,20,135,2.22,3.33,1.81,2.8,0.30222,2.02942
4,21,135,2.06,2.83,1.45,2.29,0.26942,1.79812
4,22,135,2.06,3.26,1.72,2.82,0.23298,2.45133
4,23,135,2.4,3.39,2.03,3.31,0.23821,2.83287
4,24,135,2.16,3.39,1.97,3.23,0.22956,2.83951
4,25,136,2.3,3.975,2.39,4.08,0.19732,3.99845
4,26,137,2.44,5.2,2.57,4.32,0.20942,4.05367
4,27,138,2.23,3.36,2.35,3.95,0.2108,3.68513
4,28,139,2.04,2.95,2.39,4.63,0.13267,6.20373
4,29,141,2.4,3.8,2.76,5.13,0.14881,6.25775
4,30,142,2.4,4.18,2.93,5.21,0.17131,5.68103
5,1,143,2.8,3.69,2.98,5.21,0.18224,5.41825
5,2,144,3.27,3.785,3.04,5.31,0.1822,5.53027
5,3,145,3.42,4.44,2.93,4.65,0.2716,3.6235
5,4,145,3.26,3.68,2.6,4.16,0.26158,3.32728
5,5,145,3.16,3.6,2.34,3.71,0.27308,2.88155
5,6,145,3.32,5.26,2.68,4.24,0.2716,3.31112
5,7,145,3.46,5.3,3.23,5.28,0.23593,4.54836
5,8,145,2.9,5.08,2.75,4.72,0.19524,4.66269
5,9,145,2.78,5.26,2.84,4.82,0.20318,4.61972
5,10,145,3.3,5.26,3.2,5.18,0.2464,4.32157
5,11,145,2.66,4.88,2.84,4.82,0.2041,4.60549
5,12,145,2.66,4.86,2.61,4.23,0.2474,3.51793
5,13,145,3.92,5.68,3.17,5.07,0.26026,4.07279
5,14,145,4.54,5.74,3.48,5.42,0.29287,4.01735
5,15,145,3.8,5.44,3.12,5.04,0.24829,4.18584
5,16,145,3.8,4.88,2.91,4.73,0.24168,4.00637
5,17,145,3.54,4.7,2.45,4.13,0.20724,3.90348
5,18,145,3.26,4.52,2.29,3.72,0.24229,3.14243
5,19,145,3.12,4.78,2.28,4.11,0.16532,4.60979
5,20,145,3.38,4.96,2.65,4.66,0.17776,4.93896
5,21,145,3.94,6.08,3.43,5.6,0.23775,4.79776
5,22,145,4.16,6.24,3.68,5.87,0.2619,4.69513
5,23,145,5.12,7.68,4.38,6.85,0.28894,5.11737
5,24,145,5.36,7.88,5.08,7.87,0.30245,5.70058
5,25,145,5.3,7.36,5.04,7.93,0.27896,6.07184
5,26,145,4.96,6.3,4.59,7.44,0.24304,6.27386
5,27,145,4.96,7.04,4.72,7.65,0.24461,6.41977
5,28,145,3.32,5.88,3.87,6.59,0.20107,6.3658
5,29,145,3.58,5.88,3.51,5.9,0.21182,5.48606
5,30,143,3.78,7.26,3.81,6.15,0.24866,5.09858
5,31,141,5.9,8.2,5.06,8.3,0.23175,7.24067
6,1,138,5.69,7.86,5.34,8.5,0.26482,6.75058
6,2,135,5.82,8.53,5.89,9.19,0.29181,6.82596
6,3,132,5.37,7.745,5.37,8.46,0.27828,6.49285
6,4,132,5.39,6.985,5.24,8.3,0.27203,6.46658
6,5,132,5.27,7.21,4.69,7.37,0.27963,5.63785
6,6,133,5.46,8.68,5.36,9.52,0.17265,10.32134
6,7,134,4.47,7.03,4.58,8.63,0.14347,10.83501
6,8,135,4.98,7.92,4.46,8.53,0.13733,11.10024
6,9,135,3.9,7.92,4.26,8.56,0.12105,12.40365
6,10,135,3.66,5.97,3.56,7.8,0.09907,13.55582
6,11,135,4.32,7.52,3.4,6.42,0.14292,8.0856
6,12,135,4.9,7.86,3.79,7.13,0.14398,8.93159
6,13,135,5.68,8.56,4.57,8.09,0.17447,8.69955
6,14,135,6.12,9.36,5.21,8.67,0.21946,7.85777
6,15,135,7.62,11.72,6.14,9.53,0.29776,6.98291
6,16,135,6.98,12.33,6.65,10.74,0.24857,8.9104
6,17,135,6.98,12.0,6.5,10.41,0.25704,8.43801
6,18,135,5.3,10.74,5.8,9.7,0.21439,8.94514
6,19,135,4.54,10.65,5.22,9.12,0.18221,9.49225
6,20,135,4.3,9.42,4.45,8.08,0.16051,9.27619
6,21,135,5.22,9.56,4.42,7.35,0.21933,6.66346
6,22,135,6.32,9.36,4.92,7.84,0.26262,6.26159
6,23,135,6.94,9.56,5.81,8.92,0.31793,6.24649
6,24,135,7.54,9.29,5.97,8.92,0.36696,5.68023
6,25,135,8.06,9.29,6.82,10.54,0.30663,7.56621
6,26,135,7.18,9.2,6.37,9.98,0.28461,7.53978
6,27,135,6.4,9.2,6.44,10.58,0.23037,9.26374
6,28,135,6.4,9.38,6.0,10.22,0.19917,9.95246
6,29,135,5.42,8.5,5.12,9.33,0.15877,10.79621
6,30,135,4.54,7.84,4.57,8.16,0.16956,8.96854
7,1,135,5.06,8.68,4.8,8.36,0.18427,8.6264
7,2,134,4.97,8.445,4.36,7.26,0.21754,6.62757
7,3,134,5.35,7.68,4.75,7.72,0.24025,6.56336
7,4,134,6.54,9.895,6.78,12.27,0.16213,13.9701
7,5,133,6.3,8.48,6.44,11.92,0.15156,14.31767
7,6,132,6.69,9.66,7.97,15.5,0.13136,20.94137
7,7,133,7.36,15.48,8.77,16.37,0.14749,20.10125
7,8,132,6.79,12.485,7.38,14.93,0.11864,22.01746
7,9,131,4.7,8.25,5.17,11.19,0.10161,18.99278
7,10,131,4.2,7.9,5.01,10.96,0.09928,19.01496
7,11,131,4.0,7.2,3.99,7.1,0.17128,7.75032
7,12,130,3.04,6.31,3.17,5.76,0.16024,6.61489
7,13,130,4.1,7.2,4.59,8.83,0.13543,11.62719
7,14,131,6.2,11.2,5.79,10.36,0.1689,11.42077
7,15,132,5.27,9.325,5.57,10.04,0.16407,11.32179
7,16,132,5.29,9.325,5.63,9.96,0.17522,10.67507
7,17,133,5.28,11.1,5.93,10.69,0.16372,12.08266
7,18,134,5.27,7.7,4.9,8.48,0.18801,8.62119
7,19,134,5.27,8.285,5.29,9.73,0.15451,11.50956
7,20,134,5.34,11.325,5.84,11.23,0.13564,14.7724
7,21,134,4.66,9.14,5.11,10.4,0.11711,15.5107
7,22,134,6.45,10.205,5.76,10.99,0.13852,14.21163
7,23,134,7.9,18.56,7.31,13.45,0.15388,15.9598
7,24,133,8.28,19.12,7.65,13.63,0.17122,14.86855
7,25,132,8.29,18.855,8.26,15.03,0.15925,17.35424
7,26,132,9.38,20.305,9.45,16.76,0.17315,18.13514
7,27,131,9.4,21.2,9.38,16.83,0.16637,18.78463
7,28,130,8.47,15.73,7.78,14.62,0.14478,18.2181
7,29,131,5.8,13.65,6.58,13.08,0.12389,18.57778
7,30,132,4.79,10.73,5.64,10.44,0.15082,12.59262
7,31,132,5.25,10.56,5.38,9.27,0.19194,9.2715
8,1,132,5.25,9.66,4.63,7.85,0.20425,7.49964
8,2,132,7.24,10.56,5.35,9.84,0.15414,11.66308
8,3,132,7.24,9.705,4.86,9.06,0.1482,11.0823
8,4,132,7.39,10.56,5.25,9.79,0.14803,11.99107
8,5,133,4.18,8.88,4.4,10.01,0.09195,18.69214
8,6,133,2.66,8.28,3.93,9.43,0.08306,19.49921
8,7,134,2.59,7.8,3.34,8.06,0.08223,16.84348
8,8,134,2.56,7.605,3.22,7.89,0.0803,16.89477
8,9,134,3.91,9.005,4.18,9.35,0.09485,16.94741
8,10,134,7.85,12.94,6.98,13.21,0.14185,16.74033
8,11,135,8.66,14.82,7.58,13.84,0.15765,16.11646
8,12,134,8.21,12.84,7.42,13.61,0.15576,15.99731
8,13,134,8.87,13.295,7.82,14.05,0.16573,15.72855
8,14,133,7.78,13.38,7.26,13.15,0.16148,15.02565
8,15,133,5.62,9.84,4.52,7.67,0.20212,7.38773
8,16,132,5.69,8.8,4.48,7.39,0.22807,6.51383
8,17,132,6.75,11.725,6.18,10.51,0.20133,10.14862
8,18,131,8.9,15.1,7.6,12.64,0.21996,11.4384
8,19,131,8.9,14.75,7.21,12.19,0.20597,11.57826
8,20,130,8.97,14.835,7.52,12.5,0.2206,11.29113
8,21,130,9.67,15.765,8.16,13.46,0.22702,11.907
8,22,130,8.41,14.01,7.2,11.88,0.22684,10.5192
8,23,130,7.29,12.225,6.7,10.74,0.25709,8.70404
8,24,130,8.4,12.225,6.92,11.0,0.26721,8.6765
8,25,130,8.41,11.31,6.67,10.73,0.2523,8.81111
8,26,130,6.48,10.705,5.72,9.27,0.24383,7.79862
8,27,130,5.94,10.055,4.97,8.1,0.23902,6.90976
8,28,130,5.93,10.22,5.27,9.97,0.14176,12.64866
8,29,130,4.38,9.025,4.43,8.95,0.11923,13.1487
8,30,130,4.21,7.435,4.17,8.69,0.11067,13.63029
8,31,130,5.9,9.995,5.07,9.8,0.13363,13.05556
9,1,130,6.23,9.995,5.72,10.48,0.15583,12.31113
9,2,130,5.45,8.2,4.8,7.6,0.2732,5.90162
9,3,130,6.41,9.775,5.61,8.56,0.32737,5.87898
9,4,130,7.02,9.865,6.38,9.24,0.43876,5.23503
